| People and Society | South Sudan |
| --- | --- |
| Nationality: | noun: South Sudanese (singular and plural) |
| Nationality: | adjective: South Sudanese |
| Ethnic groups: | Dinka 35.8%, Nuer 15.6%, Shilluk, Azande, Bari, Kakwa, Kuku, Murle, Mandari, Didinga, Ndogo, Bviri, Lndi, Anuak, Bongo, Lango, Dungotona, Acholi (2011 est.) |
| Languages: | English (official), Arabic (includes Juba and Sudanese variants), regional languages include Dinka, Nuer, Bari, Zande, Shilluk |
| Religions: | animist, Christian |
| Population: | 11,562,695 (July 2014 est.) |
| Age structure: | 0-14 years: 45.8% (male 2,699,556/female 2,593,241) |
| Age structure: | 15-24 years: 19.9% (male 1,210,962/female 1,084,810) |
| Age structure: | 25-54 years: 29.1% (male 1,622,776/female 1,742,842) |
| Age structure: | 55-64 years: 3.2% (male 198,106/female 166,664) |
| Age structure: | 65 years and over: 2.1% (male 136,932/female 106,806) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 82.8 % |
| population pyramid: | youth dependency ratio: 76.4 % |
| population pyramid: | elderly dependency ratio: 6.4 % |
| population pyramid: | potential support ratio: 15.6 (2014 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.6 years |
| Median age: | female: 17 years (2014 est.) |
| Population growth rate: | 4.12% (2014 est.) |
| Birth rate: | 37.68 births/1,000 population (2014 est.) |
| Death rate: | 8.42 deaths/1,000 population (2014 est.) |
| Net migration rate: | 11.94 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 18% of total population (2011) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2010-15 est.) |
| Major urban areas - population: | JUBA (capital) 269,000 (2011) |
| Maternal mortality rate: | 2,054 deaths/100,000 live births (2006) |
| Infant mortality rate: | total: 68.16 deaths/1,000 live births |
| Infant mortality rate: | male: 72.92 deaths/1,000 live births |
| Infant mortality rate: | female: 63.15 deaths/1,000 live births (2014 est.) |
| Total fertility rate: | 5.43 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 3.5% (2006) |
| Drinking water source: | 63.4% of population |
| Drinking water source: | 55% of population |
| Drinking water source: | 56.5% of population |
| Drinking water source: | 36.6% of population |
| Drinking water source: | 45% of population |
| Drinking water source: | 43.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 15.7% of population |
| Sanitation facility access: | rural: 7.3% of population |
| Sanitation facility access: | total: 8.9% of population |
| unimproved: | urban: 84.3% of population |
| unimproved: | rural: 92.7% of population |
| unimproved: | total: 91.1% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 2.7% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 153,800 (2012 est.) |
| HIV/AIDS - deaths: | 12,900 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne disease: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria, dengue fever, trypanosomiasis-Gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Children under the age of 5 years underweight: | 32.5% (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 27% |
| Literacy: | male: 40% |
| Literacy: | female: 16% (2009) |
