| People and Society | South Sudan |
| --- | --- |
| Nationality: | noun: South Sudanese (singular and plural) |
| Nationality: | adjective: South Sudanese |
| Ethnic groups: | Dinka, Kakwa, Bari, Azande, Shilluk, Kuku, Murle, Mandari, Didinga, Ndogo, Bviri, Lndi, Anuak, Bongo, Lango, Dungotona, Acholi |
| Languages: | English (official), Arabic (includes Juba and Sudanese variants) (official), regional languages include Dinka, Nuer, Bari, Zande, Shilluk |
| Religions: | animist, Christian |
| Population: | 8,260,490 (according to disputed 2008 census; actual number may be as high as 9.28 million) (2008) |
| Age structure: | 0-14 years: 44.4% (male 1,945,033/female 1,722,860) |
| Age structure: | 15-64 years: 53% (male 2,216,427/female 2,157,893) |
| Age structure: | 65 years and over: 2.6% (male 125,840/female 92,437) (2008) |
| Urbanization: | urban population: 22% (2009 est.) |
| Major cities - population: | JUBA (capital) 250,000 (2008 est.) |
| Infant mortality rate: | total: 102 deaths/1,000 live births (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 67% of population |
| Drinking water source: | rural: 53% of population |
| Drinking water source: | total: 55% of population |
| HIV/AIDS - adult prevalence rate: | 3.1% (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne disease: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria, dengue fever, African trypanosomiasis (sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 27% |
| Literacy: | male: 40% |
| Literacy: | female: 16% |
