| People and Society | France |
| --- | --- |
| Population: | 67,848,156 (July 2020 est.) |
| Population: | note: the above figure is for metropolitan France and five overseas regions; the metropolitan France population is 62,814,233 |
| Nationality: | noun: Frenchman(men), Frenchwoman(women) |
| Nationality: | adjective: French |
| Ethnic groups: | Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities |
| Ethnic groups: | note: overseas departments: Black, White, Mulatto, East Indian, Chinese, Amerindian |
| Languages: | French (official) 100%, declining regional dialects and languages (Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish, Occitan, Picard) |
| Languages: | note: overseas departments: French, Creole patois, Mahorian (a Swahili dialect) |
| Religions: | Christian (overwhelmingly Roman Catholic) 63-66%, Muslim 7-9%, Buddhist 0.5-0.75%, Jewish 0.5-0.75%, other 0.5-1.0%, none 23-28% (2015 est.) |
| Religions: | note: France maintains a tradition of secularism and has not officially collected data on religious affiliation since the 1872 national census, which complicates assessments of France's religious composition; an 1872 law prohibiting state authorities from collecting data on individuals' ethnicity or religious beliefs was reaffirmed by a 1978 law emphasizing the prohibition of the collection or exploitation of personal data revealing an individual's race, ethnicity, or political, philosophical, or religious opinions; a 1905 law codified France's separation of church and state |
| Age structure: | 0-14 years: 18.36% (male 6,368,767/female 6,085,318) |
| Age structure: | 15-24 years: 11.88% (male 4,122,981/female 3,938,938) |
| Age structure: | 25-54 years: 36.83% (male 12,619,649/female 12,366,120) |
| Age structure: | 55-64 years: 12.47% (male 4,085,564/female 4,376,272) |
| Age structure: | 65 years and over: 20.46% (male 6,029,303/female 7,855,244) (2020 est.) |
| Dependency ratios: | total dependency ratio: 62.4 |
| Dependency ratios: | youth dependency ratio: 28.7 |
| Dependency ratios: | elderly dependency ratio: 33.7 |
| Dependency ratios: | potential support ratio: 3 (2020 est.) |
| Median age: | total: 41.7 years |
| Median age: | male: 40 years |
| Median age: | female: 43.4 years (2020 est.) |
| Population growth rate: | 0.35% (2020 est.) |
| Birth rate: | 11.9 births/1,000 population (2020 est.) |
| Death rate: | 9.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | 1.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | much of the population is concentrated in the north and southeast; although there are many urban agglomerations throughout the country, Paris is by far the largest city, with Lyon ranked a distant second |
| Urbanization: | urban population: 81% of total population (2020) |
| Urbanization: | rate of urbanization: 0.72% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 11.017 million PARIS (capital), 1.719 million Lyon, 1.608 million Marseille-Aix-en-Provence, 1.063 million Lille, 1.024 million Toulouse, 969,000 Bordeaux (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 28.7 years (2018 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.2 deaths/1,000 live births |
| Infant mortality rate: | male: 3.5 deaths/1,000 live births |
| Infant mortality rate: | female: 2.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 82.2 years |
| Life expectancy at birth: | male: 79.1 years |
| Life expectancy at birth: | female: 85.4 years (2020 est.) |
| Total fertility rate: | 2.06 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 78.4% (2010/11) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 11.3% (2017) |
| Physicians density: | 3.26 physicians/1,000 population (2017) |
| Hospital bed density: | 6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 190,000 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout France; as of 8 December 2020, France has reported a total of 2,241,830 cases of COVID-19 or 34,345 cumulative cases of COVID-19 per 1 million population with 837 cumulative deaths per 1 million population |
| Obesity - adult prevalence rate: | 21.6% (2016) |
| Education expenditures: | 5.5% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2018) |
| Unemployment, youth ages 15-24: | total: 20.8% |
| Unemployment, youth ages 15-24: | male: 21.4% |
| Unemployment, youth ages 15-24: | female: 20% (2018 est.) |
