| People | France |
| --- | --- |
| Population: | total: 63,713,926 |
| Population: | note: 60,876,136 in metropolitan France (July 2007 est.) |
| Age structure: | 0-14 years: 18.6% (male 6,063,181/female 5,776,272) |
| Age structure: | 15-64 years: 65.2% (male 20,798,889/female 20,763,283) |
| Age structure: | 65 years and over: 16.2% (male 4,274,290/female 6,038,011) (2007 est.) |
| Median age: | total: 39 years |
| Median age: | male: 37.5 years |
| Median age: | female: 40.4 years (2007 est.) |
| Population growth rate: | 0.588% (2007 est.) |
| Birth rate: | 12.91 births/1,000 population (2007 est.) |
| Death rate: | 8.55 deaths/1,000 population (2007 est.) |
| Net migration rate: | 1.52 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.002 male(s)/female |
| Sex ratio: | 65 years and over: 0.708 male(s)/female |
| Sex ratio: | total population: 0.956 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 3.41 deaths/1,000 live births |
| Infant mortality rate: | male: 3.76 deaths/1,000 live births |
| Infant mortality rate: | female: 3.04 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 80.59 years |
| Life expectancy at birth: | male: 77.35 years |
| Life expectancy at birth: | female: 84 years (2007 est.) |
| Total fertility rate: | 1.98 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2003 est.) |
| HIV/AIDS - deaths: | less than 1,000 (2003 est.) |
| Nationality: | noun: Frenchman(men), Frenchwoman(women) |
| Nationality: | adjective: French |
| Ethnic groups: | Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities |
| Ethnic groups: | overseas departments: black, white, mulatto, East Indian, Chinese, Amerindian |
| Religions: | Roman Catholic 83%-88%, Protestant 2%, Jewish 1%, Muslim 5%-10%, unaffiliated 4% |
| Religions: | overseas departments: Roman Catholic, Protestant, Hindu, Muslim, Buddhist, pagan |
| Languages: | French 100%, rapidly declining regional dialects and languages (Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish) |
| Languages: | overseas departments: French, Creole patois |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
