| People | Gambia, The |
| --- | --- |
| Population: | 1,593,256 (July 2005 est.) |
| Age structure: | 0-14 years: 44.5% (male 356,079/female 352,894) |
| Age structure: | 15-64 years: 52.8% (male 416,809/female 424,429) |
| Age structure: | 65 years and over: 2.7% (male 22,111/female 20,934) (2005 est.) |
| Median age: | total: 17.59 years |
| Median age: | male: 17.45 years |
| Median age: | female: 17.74 years (2005 est.) |
| Population growth rate: | 2.93% (2005 est.) |
| Birth rate: | 39.86 births/1,000 population (2005 est.) |
| Death rate: | 11.81 deaths/1,000 population (2005 est.) |
| Net migration rate: | 1.27 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 1.06 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 72.02 deaths/1,000 live births |
| Infant mortality rate: | male: 78.6 deaths/1,000 live births |
| Infant mortality rate: | female: 65.24 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 53.75 years |
| Life expectancy at birth: | male: 51.91 years |
| Life expectancy at birth: | female: 55.64 years (2005 est.) |
| Total fertility rate: | 5.38 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,800 (2003 est.) |
| HIV/AIDS - deaths: | 600 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, Crimean-Congo hemorrhagic fever, yellow fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2004) |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% |
| Religions: | Muslim 90%, Christian 9%, indigenous beliefs 1% |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 40.1% |
| Literacy: | male: 47.8% |
| Literacy: | female: 32.8% (2003 est.) |
