| People and Society | GAMBIA, THE |
| --- | --- |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% (2003 census) |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Religions: | Muslim 90%, Christian 8%, indigenous beliefs 2% |
| Population: | 1,967,709 (July 2015 est.) |
| Age structure: | 0-14 years: 38.31% (male 378,449/female 375,417) |
| Age structure: | 15-24 years: 20.81% (male 202,218/female 207,194) |
| Age structure: | 25-54 years: 33.45% (male 322,250/female 335,860) |
| Age structure: | 55-64 years: 4.08% (male 38,717/female 41,532) |
| Age structure: | 65 years and over: 3.36% (male 30,886/female 35,186) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.2% |
| population pyramid: | youth dependency ratio: 89.7% |
| population pyramid: | elderly dependency ratio: 4.5% |
| population pyramid: | potential support ratio: 22.3% (2015 est.) |
| Median age: | total: 20.5 years |
| Median age: | male: 20.2 years |
| Median age: | female: 20.8 years (2015 est.) |
| Population growth rate: | 2.16% (2015 est.) |
| Birth rate: | 30.86 births/1,000 population (2015 est.) |
| Death rate: | 7.15 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.12 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 59.6% of total population (2015) |
| Urbanization: | rate of urbanization: 4.33% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BANJUL (capital) 504,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 63.9 deaths/1,000 live births |
| Infant mortality rate: | male: 69.33 deaths/1,000 live births |
| Infant mortality rate: | female: 58.3 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 64.6 years |
| Life expectancy at birth: | male: 62.27 years |
| Life expectancy at birth: | female: 67 years (2015 est.) |
| Total fertility rate: | 3.73 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 9% (2013) |
| Health expenditures: | 6% of GDP (2013) |
| Physicians density: | 0.11 physicians/1,000 population (2008) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.2% of population |
| Drinking water source: | rural: 84.4% of population |
| Drinking water source: | total: 90.2% of population |
| unimproved: | urban: 5.8% of population |
| unimproved: | rural: 15.6% of population |
| unimproved: | total: 9.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 61.5% of population |
| Sanitation facility access: | rural: 55% of population |
| Sanitation facility access: | total: 58.9% of population |
| unimproved: | urban: 38.5% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 41.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.82% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,300 (2014 est.) |
| HIV/AIDS - deaths: | 900 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 9.1% (2014) |
| Children under the age of 5 years underweight: | 17.4% (2010) |
| Education expenditures: | 4.1% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 55.5% |
| Literacy: | male: 63.9% |
| Literacy: | female: 47.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2010) |
| Child labor - children ages 5-14: | total number: 103,389 |
| Child labor - children ages 5-14: | percentage: 25% (2006 est.) |
