| People | Gambia, The |
| --- | --- |
| Population: | 1,735,464 (July 2008 est.) |
| Age structure: | 0-14 years: 43.9% (male 382,385/female 378,853) |
| Age structure: | 15-64 years: 53.4% (male 459,315/female 466,689) |
| Age structure: | 65 years and over: 2.8% (male 24,303/female 23,919) (2008 est.) |
| Median age: | total: 17.9 years |
| Median age: | male: 17.7 years |
| Median age: | female: 18 years (2008 est.) |
| Population growth rate: | 2.724% (2008 est.) |
| Birth rate: | 38.36 births/1,000 population (2008 est.) |
| Death rate: | 11.74 deaths/1,000 population (2008 est.) |
| Net migration rate: | 0.61 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 1.02 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 68.72 deaths/1,000 live births |
| Infant mortality rate: | male: 75.07 deaths/1,000 live births |
| Infant mortality rate: | female: 62.18 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 54.95 years |
| Life expectancy at birth: | male: 53.06 years |
| Life expectancy at birth: | female: 56.9 years (2008 est.) |
| Total fertility rate: | 5.13 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,800 (2003 est.) |
| HIV/AIDS - deaths: | 600 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, Crimean-Congo hemorrhagic fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2008) |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% (2003 census) |
| Religions: | Muslim 90%, Christian 8%, indigenous beliefs 2% |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 40.1% |
| Literacy: | male: 47.8% |
| Literacy: | female: 32.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2004) |
| Education expenditures: | 2% of GDP (2004) |
