| People and Society | Gambia, The |
| --- | --- |
| Population: | 2,173,999 (July 2020 est.) |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | Mandinka/Jahanka 34%, Fulani/Tukulur/Lorobo 22.4%, Wolof 12.6%, Jola/Karoninka 10.7%, Serahuleh 6.6%, Serer 3.2%, Manjago 2.1%, Bambara 1%, Creole/Aku Marabout 0.7%, other 0.9%, non-Gambian 5.2%, no answer 0.6% (2013 est.) |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Religions: | Muslim 95.7%, Christian 4.2%, none 0.1%, no response 0.1% (2013 est.) |
| Demographic profile: | The Gambiaâ€™s youthful age structure â€“ almost 60% of the population is under the age of 25 â€“ is likely to persist because the countryâ€™s total fertility rate remains strong at nearly 4 children per woman. The overall literacy rate is around 55%, and is significantly lower for women than for men. At least 70% of the populace are farmers who are reliant on rain-fed agriculture and cannot afford improved seeds and fertilizers. Crop failures caused by droughts between 2011 and 2013 have increased poverty, food shortages, and malnutrition. |
| Demographic profile: | The Gambia is a source country for migrants and a transit and destination country for migrants and refugees. Since the 1980s, economic deterioration, drought, and high unemployment, especially among youths, have driven both domestic migration (largely urban) and migration abroad (legal and illegal). Emigrants are largely skilled workers, including doctors and nurses, and provide a significant amount of remittances. The top receiving countries for Gambian emigrants are Spain, the US, Nigeria, Senegal, and the UK. While the Gambia and Spain do not share historic, cultural, or trade ties, rural Gambians have migrated to Spain in large numbers because of its proximity and the availability of jobs in its underground economy (this flow slowed following the onset of Spainâ€™s late 2007 economic crisis). |
| Demographic profile: | The Gambiaâ€™s role as a host country to refugees is a result of wars in several of its neighboring West African countries. Since 2006, refugees from the Casamance conflict in Senegal have replaced their pattern of flight and return with permanent settlement in The Gambia, often moving in with relatives along the Senegal-Gambia border. The strain of providing for about 7,400 Casamance refugees has increased poverty among Gambian villagers. |
| Age structure: | 0-14 years: 35.96% (male 392,714/female 389,027) |
| Age structure: | 15-24 years: 20.09% (male 216,307/female 220,514) |
| Age structure: | 25-54 years: 35.85% (male 382,138/female 397,324) |
| Age structure: | 55-64 years: 4.4% (male 45,614/female 50,143) |
| Age structure: | 65 years and over: 3.69% (male 36,773/female 43,445) (2020 est.) |
| Dependency ratios: | total dependency ratio: 86.9 |
| Dependency ratios: | youth dependency ratio: 82.1 |
| Dependency ratios: | elderly dependency ratio: 4.7 |
| Dependency ratios: | potential support ratio: 21.1 (2020 est.) |
| Median age: | total: 21.8 years |
| Median age: | male: 21.5 years |
| Median age: | female: 22.2 years (2020 est.) |
| Population growth rate: | 1.87% (2020 est.) |
| Birth rate: | 27 births/1,000 population (2020 est.) |
| Death rate: | 6.7 deaths/1,000 population (2020 est.) |
