| People and Society | Mali |
| --- | --- |
| Population: | 18,429,893 (July 2018 est.) |
| Nationality: | noun: Malian(s) |
| Nationality: | adjective: Malian |
| Ethnic groups: | Bambara 33.3%, Fulani (Peuhl) 13.3%, Sarakole/Soninke/Marka 9.8%, Senufo/Manianka 9.6%, Malinke 8.8%, Dogon 8.7%, Sonrai 5.9%, Bobo 2.1%, Tuareg/Bella 1.7%, other Malian 6%, from member of Economic Community of West Africa .4%, other .3% (2018 est.) |
| Languages: | French (official), Bambara 46.3%, Peuhl/Foulfoulbe 9.4%, Dogon 7.2%, Maraka/Soninke 6.4%, Malinke 5.6%, Sonrhai/Djerma 5.6%, Minianka 4.3%, Tamacheq 3.5%, Senoufo 2.6%, Bobo 2.1%, unspecified 0.7%, other 6.3% (2009 est.) |
| Languages: | note: Mali has 13 national languages in addition to its official language |
| Religions: | Muslim 93.9%, Christian 2.8%, Animist .7%, none 2.5% (2018 est.) |
| Demographic profile: | Maliâ€™s total population is expected to double by 2035; its capital Bamako is one of the fastest-growing cities in Africa. A young age structure, a declining mortality rate, and a sustained high total fertility rate of 6 children per woman â€“ the third highest in the world â€“ ensure continued rapid population growth for the foreseeable future. Significant outmigration only marginally tempers this growth. Despite decreases, Maliâ€™s infant, child, and maternal mortality rates remain among the highest in sub-Saharan Africa because of limited access to and adoption of family planning, early childbearing, short birth intervals, the prevalence of female genital cutting, infrequent use of skilled birth attendants, and a lack of emergency obstetrical and neonatal care. |
| Demographic profile: | Maliâ€™s high total fertility rate has been virtually unchanged for decades, as a result of the ongoing preference for large families, early childbearing, the lack of female education and empowerment, poverty, and extremely low contraceptive use. Slowing Maliâ€™s population growth by lowering its birth rate will be essential for poverty reduction, improving food security, and developing human capital and the economy. |
| Demographic profile: | Mali has a long history of seasonal migration and emigration driven by poverty, conflict, demographic pressure, unemployment, food insecurity, and droughts. Many Malians from rural areas migrate during the dry period to nearby villages and towns to do odd jobs or to adjoining countries to work in agriculture or mining. Pastoralists and nomads move seasonally to southern Mali or nearby coastal states. Others migrate long term to Maliâ€™s urban areas, Cote dâ€™Ivoire, other neighboring countries, and in smaller numbers to France, Maliâ€™s former colonial ruler. Since the early 1990s, Maliâ€™s role has grown as a transit country for regional migration flows and illegal migration to Europe. Human smugglers and traffickers exploit the same regional routes used for moving contraband drugs, arms, and cigarettes. |
| Demographic profile: | Between early 2012 and 2013, renewed fighting in northern Mali between government forces and Tuareg secessionists and their Islamist allies, a French-led international military intervention, as well as chronic food shortages, caused the displacement of hundreds of thousands of Malians. Most of those displaced domestically sought shelter in urban areas of southern Mali, except for pastoralist and nomadic groups, who abandoned their traditional routes, gave away or sold their livestock, and dispersed into the deserts of northern Mali or crossed into neighboring countries. Almost all Malians who took refuge abroad (mostly Tuareg and Maure pastoralists) stayed in the region, largely in Mauritania, Niger, and Burkina Faso. |
| Age structure: | 0-14 years: 48.03% (male 4,449,790 /female 4,402,076) |
| Age structure: | 15-24 years: 18.89% (male 1,657,609 /female 1,823,453) |
| Age structure: | 25-54 years: 26.36% (male 2,243,158 /female 2,615,695) |
| Age structure: | 55-64 years: 3.7% (male 346,003 /female 335,733) |
| Age structure: | 65 years and over: 3.02% (male 277,834 /female 278,542) (2018 est.) |
| Dependency ratios: | total dependency ratio: 101.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 96.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.5 (2015 est.) |
| Median age: | total: 15.8 years (2018 est.) |
| Median age: | male: 15.2 years |
| Median age: | female: 16.5 years |
| Population growth rate: | 2.98% (2018 est.) |
| Birth rate: | 43.2 births/1,000 population (2018 est.) |
| Death rate: | 9.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | -3.9 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the overwhelming majority of the population lives in the southern half of the country, with greater density along the border with Burkina Faso |
| Urbanization: | urban population: 43.1% of total population (2019) |
| Urbanization: | rate of urbanization: 4.86% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.529 million BAMAKO (capital) (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.91 male(s)/female |
| Sex ratio: | 25-54 years: 0.86 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 1 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 18.9 years (2018 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 562 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 67.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 73.3 deaths/1,000 live births |
| Infant mortality rate: | female: 61.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 60.8 years (2018 est.) |
| Life expectancy at birth: | male: 58.6 years |
| Life expectancy at birth: | female: 63 years |
| Total fertility rate: | 5.9 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 15.6% (2015) |
| Drinking water source: | improved: urban: 96.5% of population |
| Drinking water source: | rural: 64.1% of population |
| Drinking water source: | total: 77% of population |
| Drinking water source: | unimproved: urban: 3.5% of population |
| Drinking water source: | rural: 35.9% of population |
| Drinking water source: | total: 23% of population (2015 est.) |
| Current Health Expenditure: | 3.8% (2016) |
| Physicians density: | 0.14 physicians/1,000 population (2016) |
| Hospital bed density: | 0.1 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 37.5% of population (2015 est.) |
| Sanitation facility access: | rural: 16.1% of population (2015 est.) |
| Sanitation facility access: | total: 24.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 62.5% of population (2015 est.) |
| Sanitation facility access: | rural: 83.9% of population (2015 est.) |
| Sanitation facility access: | total: 75.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 150,000 (2018 est.) |
| HIV/AIDS - deaths: | 6,500 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Children under the age of 5 years underweight: | 25% (2015) |
| Education expenditures: | 3.1% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 33.1% |
| Literacy: | male: 45.1% |
