| People and Society | Jersey |
| --- | --- |
| Population: | 99,602 (July 2018 est.) |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | Jersey 46.4%, British 32.7%, Portuguese/Madeiran 8.2%, Polish 3.3%, Irish, French, and other white 7.1%, other 2.4% (2011 est.) |
| Languages: | English 94.5% (official), Portuguese 4.6%, other 0.9% (2001 census) |
| Religions: | Protestant (Anglican, Baptist, Congregational New Church, Methodist, Presbyterian), Roman Catholic |
| Age structure: | 0-14 years: 16.37% (male 8,430 /female 7,870) |
| Age structure: | 15-24 years: 13.63% (male 7,004 /female 6,572) |
| Age structure: | 25-54 years: 40.71% (male 20,392 /female 20,160) |
| Age structure: | 55-64 years: 12.73% (male 6,187 /female 6,497) |
| Age structure: | 65 years and over: 16.56% (male 7,015 /female 9,475) (2018 est.) |
| Dependency ratios: | total dependency ratio: 47.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 21.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 25.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.9 (2015 est.) |
| Dependency ratios: | note: data represent the Guernsey and Jersey |
| Median age: | total: 37.7 years (2018 est.) |
| Median age: | male: 35.9 years |
| Median age: | female: 40.2 years |
| Population growth rate: | 0.76% (2018 est.) |
| Birth rate: | 12.5 births/1,000 population (2018 est.) |
| Death rate: | 7.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | 2.9 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | fairly even distribution; no notable trends |
| Urbanization: | urban population: 30.9% of total population (2019) |
| Urbanization: | rate of urbanization: 0.46% annual rate of change (2015-20 est.) |
| Urbanization: | note: data represent Guernsey and Jersey |
| Major urban areas - population: | 34,000 SAINT HELIER (capital) (2018) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 3.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.9 deaths/1,000 live births |
| Infant mortality rate: | female: 3.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 82 years (2018 est.) |
| Life expectancy at birth: | male: 79.5 years |
| Life expectancy at birth: | female: 84.7 years |
| Total fertility rate: | 1.66 children born/woman (2018 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
