| People and Society | Jersey |
| --- | --- |
| Nationality: | noun: Channel Islander(s) |
| Nationality: | adjective: Channel Islander |
| Ethnic groups: | Jersey 46.4%, British 32.7%, Portuguese/Madeiran 8.2%, Polish 3.3%, Irish, French, and other white 7.1%, other 2.4% (2011 est.) |
| Languages: | English 94.5% (official), Portuguese 4.6%, other 0.9% (2001 census) |
| Religions: | Protestant (Anglican, Baptist, Congregational New Church, Methodist, Presbyterian), Roman Catholic |
| Population: | 96,513 (July 2014 est.) |
| Age structure: | 0-14 years: 16% (male 8,001/female 7,456) |
| Age structure: | 15-24 years: 14.8% (male 7,271/female 6,972) |
| Age structure: | 25-54 years: 41.4% (male 20,000/female 19,927) |
| Age structure: | 55-64 years: 12.2% (male 5,690/female 6,055) |
| Age structure: | 65 years and over: 15.4% (male 6,464/female 8,677) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 46.4 % |
| population pyramid: | youth dependency ratio: 21.7 % |
| population pyramid: | elderly dependency ratio: 24.7 % |
| population pyramid: | potential support ratio: 4 |
| population pyramid: | note: data represents the Channel Islands (2014 est.) |
| Median age: | total: 39.5 years |
| Median age: | male: 37.1 years |
| Median age: | female: 41.6 years (2014 est.) |
| Population growth rate: | 0.81% (2014 est.) |
| Birth rate: | 11.65 births/1,000 population (2014 est.) |
| Death rate: | 7.63 deaths/1,000 population (2014 est.) |
| Net migration rate: | 4.08 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 31.2% of total population (2011) |
| Urbanization: | rate of urbanization: 0.63% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 3.86 deaths/1,000 live births |
| Infant mortality rate: | male: 4.08 deaths/1,000 live births |
| Infant mortality rate: | female: 3.63 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 81.66 years |
| Life expectancy at birth: | male: 79.22 years |
| Life expectancy at birth: | female: 84.26 years (2014 est.) |
| Total fertility rate: | 1.66 children born/woman (2014 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | NA |
