| People and Society | SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA |
| --- | --- |
| Nationality: | noun: Saint Helenian(s) |
| Nationality: | adjective: Saint Helenian |
| Nationality: | note: referred to locally as "Saints" |
| Ethnic groups: | African descent 50%, white 25%, Chinese 25% |
| Languages: | English |
| Religions: | Protestant (Anglican (majority), Baptist, Seventh-Day Adventist), Roman Catholic |
| Population: | 7,795 |
| Population: | note: only Saint Helena, Ascension, and Tristan da Cunha islands are inhabited, not any of the other nearby islands/islets (July 2015 est.) |
| Age structure: | 0-14 years: 16.55% (male 658/female 632) |
| Age structure: | 15-24 years: 12.06% (male 479/female 461) |
| Age structure: | 25-54 years: 44.67% (male 1,719/female 1,763) |
| Age structure: | 55-64 years: 12.6% (male 519/female 463) |
| Age structure: | 65 years and over: 14.12% (male 560/female 541) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 41 years |
| population pyramid: | male: 41 years |
| population pyramid: | female: 41 years (2015 est.) |
| Population growth rate: | 0.24% (2015 est.) |
| Birth rate: | 9.88 births/1,000 population (2015 est.) |
| Death rate: | 7.44 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 39.4% of total population (2015) |
| Urbanization: | rate of urbanization: -0.59% annual rate of change (2010-15 est.) |
| Major urban areas - population: | JAMESTOWN (capital) 1,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 1.12 male(s)/female |
| Sex ratio: | 65 years and over: 1.04 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 14.19 deaths/1,000 live births |
| Infant mortality rate: | male: 16.75 deaths/1,000 live births |
| Infant mortality rate: | female: 11.5 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.36 years |
| Life expectancy at birth: | male: 76.42 years |
| Life expectancy at birth: | female: 82.44 years (2015 est.) |
| Total fertility rate: | 1.58 children born/woman (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
