| People and Society | Qatar |
| --- | --- |
| Population: | 2,363,569 (July 2018 est.) |
| Nationality: | noun: Qatari(s) |
| Nationality: | adjective: Qatari |
| Ethnic groups: | non-Qatari 88.4%, Qatari 11.6% (2015 est.) |
| Languages: | Arabic (official), English commonly used as a second language |
| Religions: | Muslim 67.7%, Christian 13.8%, Hindu 13.8%, Buddhist 3.1%, folk religion (2010 est.) |
| Age structure: | 0-14 years: 12.7% (male 151,888 /female 148,186) |
| Age structure: | 15-24 years: 12.12% (male 205,242 /female 81,297) |
| Age structure: | 25-54 years: 70.67% (male 1,391,192 /female 279,256) |
| Age structure: | 55-64 years: 3.44% (male 62,683 /female 18,731) |
| Age structure: | 65 years and over: 1.06% (male 16,295 /female 8,799) (2018 est.) |
| Dependency ratios: | total dependency ratio: 17.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 16.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 1.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 78.1 (2015 est.) |
| Median age: | total: 33.4 years |
| Median age: | male: 34.6 years |
| Median age: | female: 28.2 years (2018 est.) |
| Population growth rate: | 1.95% (2018 est.) |
| Birth rate: | 9.5 births/1,000 population (2018 est.) |
| Death rate: | 1.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | 14.6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is clustered in or around the capital of Doha on the eastern side of the peninsula |
| Urbanization: | urban population: 99.1% of total population (2018) |
| Urbanization: | rate of urbanization: 2.41% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 633,000 DOHA (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 2.64 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 4.91 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 3.38 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 1.71 male(s)/female (2017 est.) |
| Sex ratio: | total population: 3.41 male(s)/female (2017 est.) |
| Maternal mortality rate: | 13 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 6.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 5.7 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 79 years (2018 est.) |
| Life expectancy at birth: | male: 76.9 years (2018 est.) |
| Life expectancy at birth: | female: 81.2 years (2018 est.) |
| Total fertility rate: | 1.89 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 37.5% (2012) |
| Health expenditures: | 2.2% of GDP (2014) |
| Physicians density: | 1.96 physicians/1,000 population (2014) |
| Hospital bed density: | 1.2 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 98% of population (2015 est.) |
| Sanitation facility access: | rural: 98% of population (2015 est.) |
| Sanitation facility access: | total: 98% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2% of population (2015 est.) |
| Sanitation facility access: | rural: 2% of population (2015 est.) |
| Sanitation facility access: | total: 2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2017 est.) |
| HIV/AIDS - deaths: | <100 (2017 est.) |
| Obesity - adult prevalence rate: | 35.1% (2016) |
| Education expenditures: | 3.6% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 97.3% (2015 est.) |
| Literacy: | male: 97.4% (2015 est.) |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years (2011) |
| School life expectancy (primary to tertiary education): | male: 13 years (2011) |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Unemployment, youth ages 15-24: | total: 0.5% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 0.2% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 2.1% (2016 est.) |
