| People and Society | QATAR |
| --- | --- |
| Population: | 2,314,307 (July 2017 est.) |
| Nationality: | noun: Qatari(s) |
| Nationality: | adjective: Qatari |
| Ethnic groups: | non-Qatari 88.4%, Qatari 11.6% (2015 est.) |
| Languages: | Arabic (official), English commonly used as a second language |
| Religions: | Muslim 67.7%, Christian 13.8%, Hindu 13.8%, Buddhist 3.1%, folk religion <.1%, Jewish <.1%, other 0.7%, unaffiliated 0.9% (2010 est.) |
| Age structure: | 0-14 years: 12.63% (male 148,021/female 144,252) |
| Age structure: | 15-24 years: 12.35% (male 206,055/female 79,859) |
| Age structure: | 25-54 years: 70.59% (male 1,359,383/female 274,334) |
| Age structure: | 55-64 years: 3.42% (male 61,051/female 18,203) |
| Age structure: | 65 years and over: 1% (male 14,932/female 8,217) (2017 est.) |
| Dependency ratios: | total dependency ratio: 17.5 |
| Dependency ratios: | youth dependency ratio: 16.3 |
| Dependency ratios: | elderly dependency ratio: 1.3 |
| Dependency ratios: | potential support ratio: 78.1 (2015 est.) |
| Median age: | total: 33.2 years |
| Median age: | male: 34.3 years |
| Median age: | female: 28.1 years (2017 est.) |
| Population growth rate: | 2.27% (2017 est.) |
| Birth rate: | 9.6 births/1,000 population (2017 est.) |
| Death rate: | 1.5 deaths/1,000 population (2017 est.) |
| Net migration rate: | 14.6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is clustered in or around the capital of Doha on the eastern side of the peninsula |
| Urbanization: | urban population: 99.4% of total population (2017) |
| Urbanization: | rate of urbanization: 1.63% annual rate of change (2015-20 est.) |
| Major urban areas - population: | DOHA (capital) 718,000 (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 2.64 male(s)/female |
| Sex ratio: | 25-54 years: 4.91 male(s)/female |
| Sex ratio: | 55-64 years: 3.38 male(s)/female |
| Sex ratio: | 65 years and over: 1.71 male(s)/female |
| Sex ratio: | total population: 3.41 male(s)/female (2016 est.) |
| Maternal mortality rate: | 13 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 6.2 deaths/1,000 live births |
| Infant mortality rate: | male: 6.4 deaths/1,000 live births |
| Infant mortality rate: | female: 5.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.9 years |
| Life expectancy at birth: | male: 76.8 years |
| Life expectancy at birth: | female: 81 years (2017 est.) |
| Total fertility rate: | 1.9 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 37.5% (2012) |
| Health expenditures: | 2.2% of GDP (2014) |
| Physicians density: | 1.96 physicians/1,000 population (2014) |
| Hospital bed density: | 1.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <100 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 35.1% (2016) |
| Education expenditures: | 3.5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.3% |
| Literacy: | male: 97.4% |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Unemployment, youth ages 15-24: | total: 0.6% |
| Unemployment, youth ages 15-24: | male: 0.2% |
| Unemployment, youth ages 15-24: | female: 2.2% (2015 est.) |
