| People and Society | QATAR |
| --- | --- |
| Population: | 2,258,283 (July 2016 est.) |
| Nationality: | noun: Qatari(s) |
| Nationality: | adjective: Qatari |
| Ethnic groups: | Arab 40%, Indian 18%, Pakistani 18%, Iranian 10%, other 14% |
| Languages: | Arabic (official), English commonly used as a second language |
| Religions: | Muslim 77.5%, Christian 8.5%, other (includes mainly Hindu and other Indian religions) 14% (2004 est.) |
| Age structure: | 0-14 years: 12.57% (male 143,859/female 140,027) |
| Age structure: | 15-24 years: 12.62% (male 206,775/female 78,271) |
| Age structure: | 25-54 years: 70.45% (male 1,321,973/female 269,072) |
| Age structure: | 55-64 years: 3.41% (male 59,418/female 17,578) |
| Age structure: | 65 years and over: 0.94% (male 13,610/female 7,700) (2016 est.) |
| Dependency ratios: | total dependency ratio: 20.1% |
| Dependency ratios: | youth dependency ratio: 18.6% |
| Dependency ratios: | elderly dependency ratio: 1.4% |
| Dependency ratios: | potential support ratio: 70.4% (2015 est.) |
| Median age: | total: 33 years |
| Median age: | male: 24.1 years |
| Median age: | female: 28.1 years (2016 est.) |
| Population growth rate: | 2.64% (2016 est.) |
| Birth rate: | 9.7 births/1,000 population (2016 est.) |
| Death rate: | 1.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | 18.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most of the population is clustered in or around the capital of Doha on the eastern side of the peninsula |
| Urbanization: | urban population: 99.2% of total population (2015) |
| Urbanization: | rate of urbanization: 6.02% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DOHA (capital) 718,000 (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 2.64 male(s)/female |
| Sex ratio: | 25-54 years: 4.91 male(s)/female |
| Sex ratio: | 55-64 years: 3.38 male(s)/female |
| Sex ratio: | 65 years and over: 1.71 male(s)/female |
| Sex ratio: | total population: 3.41 male(s)/female (2016 est.) |
| Maternal mortality rate: | 13 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 6.2 deaths/1,000 live births |
| Infant mortality rate: | male: 6.4 deaths/1,000 live births |
| Infant mortality rate: | female: 6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 78.7 years |
| Life expectancy at birth: | male: 76.7 years |
| Life expectancy at birth: | female: 80.8 years (2016 est.) |
| Total fertility rate: | 1.9 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 38% (2012) |
| Health expenditures: | 2.2% of GDP (2014) |
| Physicians density: | 7.74 physicians/1,000 population (2010) |
| Hospital bed density: | 1.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 41% (2014) |
| Education expenditures: | 3.5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.3% |
| Literacy: | male: 97.4% |
| Literacy: | female: 96.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Unemployment, youth ages 15-24: | total: 1.1% |
| Unemployment, youth ages 15-24: | male: 0.4% |
| Unemployment, youth ages 15-24: | female: 6.2% (2013 est.) |
