| People and Society | Moldova |
| --- | --- |
| Population: | 3,364,496 (July 2020 est.) |
| Nationality: | noun: Moldovan(s) |
| Nationality: | adjective: Moldovan |
| Ethnic groups: | Moldovan 75.1%, Romanian 7%, Ukrainian 6.6%, Gagauz 4.6%, Russian 4.1%, Bulgarian 1.9%, other 0.8% (2014 est.) |
| Languages: | Moldovan/Romanian 80.2% (official) (56.7% identify their mother tongue as Moldovan, which is virtually the same as Romanian; 23.5% identify Romanian as their mother tongue), Russian 9.7%, Gagauz 4.2% (a Turkish language), Ukrainian 3.9%, Bulgarian 1.5%, Romani 0.3%, other 0.2% (2014 est.) |
| Languages: | note: data represent mother tongue |
| Religions: | Orthodox 90.1%, other Christian 2.6%, other 0.1%, agnostic (2014 est.) |
| Age structure: | 0-14 years: 18.31% (male 317,243/female 298,673) |
| Age structure: | 15-24 years: 11.27% (male 196,874/female 182,456) |
| Age structure: | 25-54 years: 43.13% (male 738,103/female 712,892) |
| Age structure: | 55-64 years: 13.26% (male 205,693/female 240,555) |
| Age structure: | 65 years and over: 14.03% (male 186,949/female 285,058) (2020 est.) |
| Dependency ratios: | total dependency ratio: 39.6 |
| Dependency ratios: | youth dependency ratio: 22.2 |
| Dependency ratios: | elderly dependency ratio: 17.4 |
| Dependency ratios: | potential support ratio: 5.7 (2020 est.) |
| Median age: | total: 37.7 years |
| Median age: | male: 36.2 years |
| Median age: | female: 39.5 years (2020 est.) |
| Population growth rate: | -1.08% (2020 est.) |
| Birth rate: | 10.7 births/1,000 population (2020 est.) |
| Death rate: | 12.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | pockets of agglomeration exist throughout the country, the largest being in the center of the country around the capital of Chisinau, followed by Tiraspol and Balti |
| Urbanization: | urban population: 42.8% of total population (2020) |
| Urbanization: | rate of urbanization: -0.07% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 499,000 CHISINAU (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 24.8 years (2017 est.) |
| Maternal mortality rate: | 19 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.1 deaths/1,000 live births |
| Infant mortality rate: | male: 12.8 deaths/1,000 live births |
| Infant mortality rate: | female: 9.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 71.9 years |
| Life expectancy at birth: | male: 68 years |
| Life expectancy at birth: | female: 76 years (2020 est.) |
| Total fertility rate: | 1.58 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 59.5% (2012) |
| Drinking water source: | improved: urban: 98.5% of population |
| Drinking water source: | rural: 84.6% of population |
| Drinking water source: | total: 90.5% of population |
| Drinking water source: | unimproved: urban: 1.5% of population |
| Drinking water source: | rural: 15.4% of population |
| Drinking water source: | total: 9.5% of population (2017 est.) |
| Current Health Expenditure: | 7% (2017) |
| Physicians density: | 3.21 physicians/1,000 population (2017) |
| Hospital bed density: | 5.8 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 98.3% of population |
| Sanitation facility access: | rural: 78.9% of population |
| Sanitation facility access: | total: 87.2% of population |
| Sanitation facility access: | unimproved: urban: 1.7% of population |
| Sanitation facility access: | rural: 21.1% of population |
| Sanitation facility access: | total: 12.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 15,000 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Obesity - adult prevalence rate: | 18.9% (2016) |
| Children under the age of 5 years underweight: | 2.2% (2012) |
| Education expenditures: | 5.4% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.4% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.1% (2015) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2019) |
| Unemployment, youth ages 15-24: | total: 7.4% |
| Unemployment, youth ages 15-24: | male: 7.5% |
| Unemployment, youth ages 15-24: | female: 7.2% (2018 est.) |
