| People and Society | Moldova |
| --- | --- |
| Nationality: | noun: Moldovan(s) |
| Nationality: | adjective: Moldovan |
| Ethnic groups: | Moldovan 75.8%, Ukrainian 8.4%, Russian 5.9%, Gagauz 4.4%, Romanian 2.2%, Bulgarian 1.9%, other 1%, unspecified 0.4% |
| Ethnic groups: | note: internal disputes with ethnic Slavs in the Transnistrian region (2004 est.) |
| Languages: | Moldovan 58.8% (official; virtually the same as the Romanian language), Romanian 16.4%, Russian 16%, Ukrainian 3.8%, Gagauz 3.1% (a Turkish language), Bulgarian 1.1%, other 0.3%, unspecified 0.4% |
| Languages: | note: percentages represent lanugage usually spoken (2004 est.) |
| Religions: | Orthodox 93.3%, Baptist 1%, other Christian 1.2%, other 0.9%, atheist 0.4%, none 1%, unspecified 2.2% (2004 est.) |
| Population: | 3,583,288 (July 2014 est.) |
| Age structure: | 0-14 years: 17.7% (male 326,968/female 306,948) |
| Age structure: | 15-24 years: 14.2% (male 262,559/female 246,283) |
| Age structure: | 25-54 years: 43.9% (male 785,392/female 786,421) |
| Age structure: | 55-64 years: 13.1% (male 214,899/female 255,046) |
| Age structure: | 65 years and over: 10.7% (male 151,629/female 247,143) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 39.3 % |
| population pyramid: | youth dependency ratio: 23.2 % |
| population pyramid: | elderly dependency ratio: 16.1 % |
| population pyramid: | potential support ratio: 6.2 (2014 est.) |
| Median age: | total: 35.7 years |
| Median age: | male: 33.9 years |
| Median age: | female: 37.7 years (2014 est.) |
| Population growth rate: | -1.02% (2014 est.) |
| Birth rate: | 12.21 births/1,000 population (2014 est.) |
| Death rate: | 12.6 deaths/1,000 population (2014 est.) |
| Net migration rate: | -9.8 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 47.7% of total population (2011) |
| Urbanization: | rate of urbanization: 0.79% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CHISINAU (capital) 677,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 23.7 (2011 est.) |
| Maternal mortality rate: | 41 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 12.93 deaths/1,000 live births |
| Infant mortality rate: | male: 14.82 deaths/1,000 live births |
| Infant mortality rate: | female: 10.93 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 70.12 years |
| Life expectancy at birth: | male: 66.25 years |
| Life expectancy at birth: | female: 74.24 years (2014 est.) |
| Total fertility rate: | 1.56 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 67.8% (2005) |
| Health expenditures: | 11.4% of GDP (2011) |
| Physicians density: | 3.64 physicians/1,000 population (2011) |
| Hospital bed density: | 6.2 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 93.7% of population |
| Drinking water source: | total: 96.5% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 6.3% of population |
| unimproved: | total: 3.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 89.2% of population |
| Sanitation facility access: | rural: 84.4% of population |
| Sanitation facility access: | total: 86.7% of population |
| unimproved: | urban: 10.8% of population |
| unimproved: | rural: 15.6% of population |
| unimproved: | total: 13.3% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 18,700 (2012 est.) |
| HIV/AIDS - deaths: | 1,300 (2012 est.) |
| Obesity - adult prevalence rate: | 21.2% (2008) |
| Children under the age of 5 years underweight: | 3.2% (2005) |
| Education expenditures: | 8.4% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.5% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Child labor - children ages 5-14: | total number: 72,364 |
| Child labor - children ages 5-14: | percentage: 16 % (2009 est.) |
| Unemployment, youth ages 15-24: | total: 13.1% |
| Unemployment, youth ages 15-24: | male: 12.8% |
| Unemployment, youth ages 15-24: | female: 13.4% (2012) |
