| People and Society | Moldova |
| --- | --- |
| Nationality: | noun: Moldovan(s) |
| Nationality: | adjective: Moldovan |
| Ethnic groups: | Moldovan/Romanian 78.2%, Ukrainian 8.4%, Russian 5.8%, Gagauz 4.4%, Bulgarian 1.9%, other 1.3% (2004 census) |
| Ethnic groups: | note: internal disputes with ethnic Slavs in the Transnistrian region |
| Languages: | Moldovan (official, virtually the same as the Romanian language), Russian, Gagauz (a Turkish dialect) |
| Religions: | Eastern Orthodox 98%, Jewish 1.5%, Baptist and other 0.5% (2000) |
| Population: | 4,314,377 (July 2011 est.) |
| Age structure: | 0-14 years: 15.5% (male 344,101/female 325,995) |
| Age structure: | 15-64 years: 74% (male 1,550,386/female 1,643,108) |
| Age structure: | 65 years and over: 10.4% (male 164,512/female 286,275) (2011 est.) |
| Median age: | total: 35.4 years |
| Median age: | male: 33.5 years |
| Median age: | female: 37.4 years (2011 est.) |
| Population growth rate: | -0.072% (2011 est.) |
| Birth rate: | 11.16 births/1,000 population (2011 est.) |
| Death rate: | 10.74 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -1.13 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 47% of total population (2010) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2010-15 est.) |
| Major cities - population: | CHISINAU (capital) 650,000 (2009) |
| Sex ratio: | at birth: 1.059 male(s)/female |
| Sex ratio: | under 15 years: 1.06 male(s)/female |
| Sex ratio: | 15-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.58 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2011 est.) |
| Maternal mortality rate: | 32 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 12.43 deaths/1,000 live births |
| Infant mortality rate: | male: 13.85 deaths/1,000 live births |
| Infant mortality rate: | female: 10.92 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 71.37 years |
| Life expectancy at birth: | male: 67.68 years |
| Life expectancy at birth: | female: 75.28 years (2011 est.) |
| Total fertility rate: | 1.29 children born/woman (2011 est.) |
| Health expenditures: | 11.9% of GDP (2009) |
| Physicians density: | 2.668 physicians/1,000 population (2007) |
| Hospital bed density: | 6.12 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96% of population |
| Drinking water source: | rural: 85% of population |
| Drinking water source: | total: 90% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 15% of population |
| unimproved: | total: 10% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 85% of population |
| Sanitation facility access: | rural: 74% of population |
| Sanitation facility access: | total: 79% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 26% of population |
| unimproved: | total: 21% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 12,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Children under the age of 5 years underweight: | 3.2% (2005) |
| Education expenditures: | 9.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.1% |
| Literacy: | male: 99.7% |
| Literacy: | female: 98.6% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2009) |
| Unemployment, youth ages 15-24: | total: 15.4% |
| Unemployment, youth ages 15-24: | male: 15.8% |
| Unemployment, youth ages 15-24: | female: 14.9% (2009) |
