| People | Gabon |
| --- | --- |
| Population: | 1,514,993 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2009 est.) |
| Age structure: | 0-14 years: 42.1% (male 320,414/female 318,027) |
| Age structure: | 15-64 years: 53.9% (male 407,461/female 409,633) |
| Age structure: | 65 years and over: 3.9% (male 24,799/female 34,659) (2009 est.) |
| Median age: | total: 18.6 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.9 years (2009 est.) |
| Population growth rate: | 1.934% (2009 est.) |
| Birth rate: | 35.57 births/1,000 population (2009 est.) |
| Death rate: | 12.76 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | -3.48 migrant(s)/1,000 population (2009 est.) |
| Urbanization: | urban population: 85% of total population (2008) |
| Urbanization: | rate of urbanization: 2.1% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 51.78 deaths/1,000 live births |
| Infant mortality rate: | male: 60.17 deaths/1,000 live births |
| Infant mortality rate: | female: 43.15 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 53.11 years |
| Life expectancy at birth: | male: 52.19 years |
| Life expectancy at birth: | female: 54.05 years (2009 est.) |
| Total fertility rate: | 4.65 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 5.9% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 49,000 (2007 est.) |
| HIV/AIDS - deaths: | 2,300 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and chikungunya |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Gabonese (singular and plural) |
| Nationality: | adjective: Gabonese |
| Ethnic groups: | Bantu tribes, including four major tribal groupings (Fang, Bapounou, Nzebi, Obamba); other Africans and Europeans, 154,000, including 10,700 French and 11,000 persons of dual nationality |
| Religions: | Christian 55%-75%, animist, Muslim less than 1% |
| Languages: | French (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 63.2% |
| Literacy: | male: 73.7% |
| Literacy: | female: 53.3% (1995 est.) |
| Education expenditures: | 3.8% of GDP (2000) |
