| People and Society | United States |
| --- | --- |
| Population: | 332,639,102 (July 2020 est.) |
| Nationality: | noun: American(s) |
| Nationality: | adjective: American |
| Ethnic groups: | White 72.4%, Black 12.6%, Asian 4.8%, Amerindian and Alaska native 0.9%, native Hawaiian and other Pacific islander 0.2%, other 6.2%, two or more races 2.9% (2010 est.) |
| Ethnic groups: | note: a separate listing for Hispanic is not included because the US Census Bureau considers Hispanic to mean persons of Spanish/Hispanic/Latino origin including those of Mexican, Cuban, Puerto Rican, Dominican Republic, Spanish, and Central or South American origin living in the US who may be of any race or ethnic group (white, black, Asian, etc.); an estimated 16.3% of the total US population is Hispanic as of 2010 |
| Languages: | English only 78.2%, Spanish 13.4%, Chinese 1.1%, other 7.3% (2017 est.) |
| Languages: | note: data represent the language spoken at home; the US has no official national language, but English has acquired official status in 32 of the 50 states; Hawaiian is an official language in the state of Hawaii, and 20 indigenous languages are official in Alaska |
| Religions: | Protestant 46.5%, Roman Catholic 20.8%, Jewish 1.9%, Mormon 1.6%, other Christian 0.9%, Muslim 0.9%, Jehovah's Witness 0.8%, Buddhist 0.7%, Hindu 0.7%, other 1.8%, unaffiliated 22.8%, don't know/refused 0.6% (2014 est.) |
| Age structure: | 0-14 years: 18.46% (male 31,374,555/female 30,034,371) |
| Age structure: | 15-24 years: 12.91% (male 21,931,368/female 21,006,463) |
| Age structure: | 25-54 years: 38.92% (male 64,893,670/female 64,564,565) |
| Age structure: | 55-64 years: 12.86% (male 20,690,736/female 22,091,808) |
| Age structure: | 65 years and over: 16.85% (male 25,014,147/female 31,037,419) (2020 est.) |
| Dependency ratios: | total dependency ratio: 53.9 |
| Dependency ratios: | youth dependency ratio: 28.3 |
| Dependency ratios: | elderly dependency ratio: 25.6 |
| Dependency ratios: | potential support ratio: 3.9 (2020 est.) |
| Median age: | total: 38.5 years |
| Median age: | male: 37.2 years |
| Median age: | female: 39.8 years (2020 est.) |
| Population growth rate: | 0.72% (2020 est.) |
| Birth rate: | 12.4 births/1,000 population (2020 est.) |
| Death rate: | 8.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | 3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | large urban clusters are spread throughout the eastern half of the US (particularly the Great Lakes area, northeast, east, and southeast) and the western tier states; mountainous areas, principally the Rocky Mountains and Appalachian chain, deserts in the southwest, the dense boreal forests in the extreme north, and the central prarie states are less densely populated; Alaska's population is concentrated along its southern coast - with particular emphasis on the city of Anchorage - and Hawaii's is centered on the island of Oahu |
| Urbanization: | urban population: 82.7% of total population (2020) |
| Urbanization: | rate of urbanization: 0.95% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 18.804 million New York-Newark, 12.447 million Los Angeles-Long Beach-Santa Ana, 8.865 million Chicago, 6.371 million Houston, 6.301 million Dallas-Fort Worth, 5.322 million WASHINGTON, D.C. (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female NA |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 26.4 years (2015 est.) |
| Maternal mortality rate: | 19 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 5.3 deaths/1,000 live births |
| Infant mortality rate: | male: 5.7 deaths/1,000 live births |
| Infant mortality rate: | female: 4.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 80.3 years |
| Life expectancy at birth: | male: 78 years |
| Life expectancy at birth: | female: 82.5 years (2020 est.) |
| Total fertility rate: | 1.84 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 75.9% (2015/17) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 97% of population |
| Drinking water source: | total: 99% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 3% of population |
| Drinking water source: | total: 1% of population (2017 est.) |
| Current Health Expenditure: | 17.1% (2017) |
| Physicians density: | 2.61 physicians/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 36.2% (2016) |
| Children under the age of 5 years underweight: | 0.5% (2012) |
| Education expenditures: | 5% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2018) |
| Unemployment, youth ages 15-24: | total: 8.6% |
| Unemployment, youth ages 15-24: | male: 9.5% |
| Unemployment, youth ages 15-24: | female: 7.7% (2018 est.) |
