| People and Society | UNITED STATES |
| --- | --- |
| Population: | 323,995,528 (July 2016 est.) |
| Nationality: | noun: American(s) |
| Nationality: | adjective: American |
| Ethnic groups: | white 79.96%, black 12.85%, Asian 4.43%, Amerindian and Alaska native 0.97%, native Hawaiian and other Pacific islander 0.18%, two or more races 1.61% (July 2007 estimate) |
| Ethnic groups: | note: a separate listing for Hispanic is not included because the US Census Bureau considers Hispanic to mean persons of Spanish/Hispanic/Latino origin including those of Mexican, Cuban, Puerto Rican, Dominican Republic, Spanish, and Central or South American origin living in the US who may be of any race or ethnic group (white, black, Asian, etc.); about 15.1% of the total US population is Hispanic |
| Languages: | English 79.2%, Spanish 12.9%, other Indo-European 3.8%, Asian and Pacific island 3.3%, other 0.9% (2011 est.) |
| Languages: | note: data represents the language spoken at home; the US has no official national language, but English has acquired official status in 31 of the 50 states; Hawaiian is an official language in the state of Hawaii |
| Religions: | Protestant 46.5%, Roman Catholic 20.8%, Mormon 1.6%, Jehovah's Witness 0.8%, other Christian 0.9%, Jewish 1.9%, Muslim 0.9%, Buddhist 0.7%, Hindu 0.7%, other 1.8%, unaffiliated 22.8%, don't know/refused 0.6% (2014 est.) |
| Age structure: | 0-14 years: 18.84% (male 31,182,660/female 29,854,687) |
| Age structure: | 15-24 years: 13.46% (male 22,360,342/female 21,252,215) |
| Age structure: | 25-54 years: 39.6% (male 64,170,791/female 64,135,619) |
| Age structure: | 55-64 years: 12.85% (male 20,081,837/female 21,536,994) |
| Age structure: | 65 years and over: 15.25% (male 21,895,128/female 27,525,255) (2016 est.) |
| Dependency ratios: | total dependency ratio: 50.9% |
| Dependency ratios: | youth dependency ratio: 28.6% |
| Dependency ratios: | elderly dependency ratio: 22.3% |
| Dependency ratios: | potential support ratio: 4.5% (2015 est.) |
| Median age: | total: 37.9 years |
| Median age: | male: 36.6 years |
| Median age: | female: 39.3 years (2016 est.) |
| Population growth rate: | 0.81% (2016 est.) |
| Birth rate: | 12.5 births/1,000 population (2016 est.) |
| Death rate: | 8.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | 3.9 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | large urban clusters are spread throughout the eastern half of the US (particularly the Great Lakes area, northeast, east, and southeast) and the western tier states; mountainous areas, principally the Rocky Mountains and Appalachian chain, deserts in the southwest, the dense boreal forests in the extreme north, and the central prarie states are less densely populated; Alaska's population is concentrated along its southern coast - with particular emphasis on the city of Anchorage - and Hawaii's is centered on the island of Oahu |
| Urbanization: | urban population: 81.6% of total population (2015) |
| Urbanization: | rate of urbanization: 1.02% annual rate of change (2010-15 est.) |
| Major urban areas - population: | New York-Newark 18.593 million; Los Angeles-Long Beach-Santa Ana 12.31 million; Chicago 8.745 million; Miami 5.817 million; Dallas-Fort Worth 5.703 million; WASHINGTON, D.C. (capital) 4.955 million (2015) |
| Sex ratio: | at birth: NA |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 25.6 (2011 est.) |
| Maternal mortality rate: | 14 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 5.8 deaths/1,000 live births |
| Infant mortality rate: | male: 6.3 deaths/1,000 live births |
| Infant mortality rate: | female: 5.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 79.8 years |
| Life expectancy at birth: | male: 77.5 years |
| Life expectancy at birth: | female: 82.1 years (2016 est.) |
| Total fertility rate: | 1.87 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 76.4% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2006/10) |
| Health expenditures: | 17.1% of GDP (2014) |
| Physicians density: | 2.45 physicians/1,000 population (2011) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.4% of population |
| Drinking water source: | rural: 98.2% of population |
| Drinking water source: | total: 99.2% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 1.8% of population |
| unimproved: | total: 0.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 35% (2014) |
| Children under the age of 5 years underweight: | 0.5% (2012) |
| Education expenditures: | 5.2% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2014) |
| Unemployment, youth ages 15-24: | total: 13.4% |
| Unemployment, youth ages 15-24: | male: 14.5% |
| Unemployment, youth ages 15-24: | female: 12.2% (2014 est.) |
