| People and Society | TAIWAN |
| --- | --- |
| Nationality: | noun: Taiwan (singular and plural) |
| Nationality: | note: example - he or she is from Taiwan; they are from Taiwan |
| Nationality: | adjective: Taiwan (or Taiwanese) |
| Ethnic groups: | Taiwanese (including Hakka) 84%, mainland Chinese 14%, indigenous 2% |
| Languages: | Mandarin Chinese (official), Taiwanese (Min), Hakka dialects |
| Religions: | mixture of Buddhist and Taoist 93%, Christian 4.5%, other 2.5% |
| Population: | 23,415,126 (July 2015 est.) |
| Age structure: | 0-14 years: 13.52% (male 1,632,763/female 1,531,895) |
| Age structure: | 15-24 years: 13.36% (male 1,606,940/female 1,521,617) |
| Age structure: | 25-54 years: 47.06% (male 5,505,063/female 5,513,395) |
| Age structure: | 55-64 years: 13.59% (male 1,556,205/female 1,625,436) |
| Age structure: | 65 years and over: 12.48% (male 1,348,686/female 1,573,126) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 39.2 years |
| population pyramid: | male: 38.5 years |
| population pyramid: | female: 39.9 years (2014 est.) |
| Population growth rate: | 0.23% (2015 est.) |
| Birth rate: | 8.47 births/1,000 population (2015 est.) |
| Death rate: | 7.11 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.89 migrant(s)/1,000 population (2015 est.) |
| Major urban areas - population: | TAIPEI (capital) 2.666 million; Kaohsiung 1.523 million; Taichung 1.225 million; Tainan 815,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.44 deaths/1,000 live births |
| Infant mortality rate: | male: 4.84 deaths/1,000 live births |
| Infant mortality rate: | female: 4.01 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.98 years |
| Life expectancy at birth: | male: 76.85 years |
| Life expectancy at birth: | female: 83.33 years (2015 est.) |
| Total fertility rate: | 1.12 children born/woman (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.5% |
| Literacy: | male: 99.7% |
| Literacy: | female: 97.3% (2014 est.) |
