| People and Society | Taiwan |
| --- | --- |
| Nationality: | noun: Taiwan (singular and plural) |
| Nationality: | note: example - he or she is from Taiwan; they are from Taiwan |
| Nationality: | adjective: Taiwan (or Taiwanese) |
| Ethnic groups: | Taiwanese (including Hakka) 84%, mainland Chinese 14%, indigenous 2% |
| Languages: | Mandarin Chinese (official), Taiwanese (Min), Hakka dialects |
| Religions: | mixture of Buddhist and Taoist 93%, Christian 4.5%, other 2.5% |
| Population: | 23,299,716 (July 2013 est.) |
| Age structure: | 0-14 years: 14.3% (male 1,722,887/female 1,609,813) |
| Age structure: | 15-24 years: 13.7% (male 1,638,424/female 1,549,415) |
| Age structure: | 25-54 years: 47.7% (male 5,562,031/female 5,553,318) |
| Age structure: | 55-64 years: 12.7% (male 1,450,513/female 1,509,359) |
| Age structure: | 65 years and over: 11.6% (male 1,262,939/female 1,441,017) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 38.7 years |
| population pyramid: | male: 38 years |
| population pyramid: | female: 39.4 years (2013 est.) |
| Population growth rate: | 0.27% (2013 est.) |
| Birth rate: | 8.61 births/1,000 population (2013 est.) |
| Death rate: | 6.83 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0.91 migrant(s)/1,000 population (2013 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 4.55 deaths/1,000 live births |
| Infant mortality rate: | male: 4.96 deaths/1,000 live births |
| Infant mortality rate: | female: 4.12 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 79.71 years |
| Life expectancy at birth: | male: 76.58 years |
| Life expectancy at birth: | female: 83.06 years (2013 est.) |
| Total fertility rate: | 1.11 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.1% |
| Literacy: | male: NA |
| Literacy: | female: NA (2003) |
