| People and Society | Indonesia |
| --- | --- |
| Nationality: | noun: Indonesian(s) |
| Nationality: | adjective: Indonesian |
| Ethnic groups: | Javanese 40.6%, Sundanese 15%, Madurese 3.3%, Minangkabau 2.7%, Betawi 2.4%, Bugis 2.4%, Banten 2%, Banjar 1.7%, other or unspecified 29.9% (2000 census) |
| Languages: | Bahasa Indonesia (official, modified form of Malay), English, Dutch, local dialects (of which the most widely spoken is Javanese) |
| Religions: | Muslim 86.1%, Protestant 5.7%, Roman Catholic 3%, Hindu 1.8%, other or unspecified 3.4% (2000 census) |
| Population: | 251,160,124 (July 2013 est.) |
| Age structure: | 0-14 years: 26.6% (male 34,049,541/female 32,844,509) |
| Age structure: | 15-24 years: 17.1% (male 21,883,499/female 21,117,498) |
| Age structure: | 25-54 years: 42.2% (male 53,766,202/female 52,325,932) |
| Age structure: | 55-64 years: 7.6% (male 8,879,503/female 10,164,470) |
| Age structure: | 65 years and over: 6.4% (male 7,038,904/female 9,090,066) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 51.8 % |
| population pyramid: | youth dependency ratio: 43.8 % |
| population pyramid: | elderly dependency ratio: 7.9 % |
| population pyramid: | potential support ratio: 12.6 (2013) |
| Median age: | total: 28.9 years |
| Median age: | male: 28.4 years |
| Median age: | female: 29.5 years (2013 est.) |
| Population growth rate: | 0.99% (2013 est.) |
| Birth rate: | 17.38 births/1,000 population (2013 est.) |
| Death rate: | 6.31 deaths/1,000 population (2013 est.) |
| Net migration rate: | -1.19 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 50.7% of total population (2011) |
| Urbanization: | rate of urbanization: 2.45% annual rate of change (2010-15 est.) |
| Major urban areas - population: | JAKARTA (capital) 9.121 million; Surabaya 2.509 million; Bandung 2.412 million; Medan 2.131 million; Semarang 1.296 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 22.8 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 220 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 26.06 deaths/1,000 live births |
| Infant mortality rate: | male: 30.47 deaths/1,000 live births |
| Infant mortality rate: | female: 21.42 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 71.9 years |
| Life expectancy at birth: | male: 69.33 years |
| Life expectancy at birth: | female: 74.59 years (2013 est.) |
| Total fertility rate: | 2.2 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 61.9% (2012) |
| Health expenditures: | 2.7% of GDP (2011) |
| Physicians density: | 0.2 physicians/1,000 population (2012) |
| Hospital bed density: | 0.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 92% of population |
| Drinking water source: | rural: 74% of population |
| Drinking water source: | total: 82% of population |
| unimproved: | urban: 8% of population |
| unimproved: | rural: 26% of population |
| unimproved: | total: 18% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 73% of population |
| Sanitation facility access: | rural: 39% of population |
| Sanitation facility access: | total: 54% of population |
| unimproved: | urban: 27% of population |
| unimproved: | rural: 61% of population |
| unimproved: | total: 46% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 310,000 (2009 est.) |
| HIV/AIDS - deaths: | 8,300 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 4.8% (2008) |
| Children under the age of 5 years underweight: | 19.6% (2007) |
| Education expenditures: | 3% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.8% |
| Literacy: | male: 95.6% |
| Literacy: | female: 90.1% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2011) |
| Child labor - children ages 5-14: | total number: 4,026,285 |
| Child labor - children ages 5-14: | percentage: 7 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2009 est.) |
| Unemployment, youth ages 15-24: | total: 22.2% |
| Unemployment, youth ages 15-24: | male: 21.6% |
| Unemployment, youth ages 15-24: | female: 23% (2009) |
