| People and Society | Fiji |
| --- | --- |
| Nationality: | noun: Fijian(s) |
| Nationality: | adjective: Fijian |
| Ethnic groups: | iTaukei 56.8% (predominantly Melanesian with a Polynesian admixture), Indian 37.5%, Rotuman 1.2%, other 4.5% (European, part European, other Pacific Islanders, Chinese) |
| Ethnic groups: | note: a 2010 law replaces 'Fijian' with 'iTuakei' when referring to the original and native settlers of Fiji (2007 est.) |
| Languages: | English (official), Fijian (official), Hindustani |
| Religions: | Protestant 45% (Methodist 34.6%, Assembly of God 5.7%, Seventh Day Adventist 3.9%, and Anglican 0.8%), Hindu 27.9%, other Christian 10.4%, Roman Catholic 9.1%, Muslim 6.3%, Sikh 0.3%, other 0.3%, none 0.8% (2007 est.) |
| Population: | 903,207 (July 2014 est.) |
| Age structure: | 0-14 years: 28.2% (male 130,013/female 124,423) |
| Age structure: | 15-24 years: 17.1% (male 78,751/female 75,358) |
| Age structure: | 25-54 years: 41.1% (male 190,035/female 181,268) |
| Age structure: | 55-64 years: 7.8% (male 35,616/female 34,920) |
| Age structure: | 65 years and over: 5.6% (male 24,282/female 28,541) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.5 % |
| population pyramid: | youth dependency ratio: 43.9 % |
| population pyramid: | elderly dependency ratio: 8.6 % |
| population pyramid: | potential support ratio: 11.6 (2014 est.) |
| Median age: | total: 27.9 years |
| Median age: | male: 27.7 years |
| Median age: | female: 28.1 years (2014 est.) |
| Population growth rate: | 0.7% (2014 est.) |
| Birth rate: | 19.86 births/1,000 population (2014 est.) |
| Death rate: | 6 deaths/1,000 population (2014 est.) |
| Net migration rate: | -6.86 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 52.2% of total population (2011) |
| Urbanization: | rate of urbanization: 1.55% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SUVA (capital) 177,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Maternal mortality rate: | 26 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 10.2 deaths/1,000 live births |
| Infant mortality rate: | male: 11.24 deaths/1,000 live births |
| Infant mortality rate: | female: 9.1 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 72.15 years |
| Life expectancy at birth: | male: 69.53 years |
| Life expectancy at birth: | female: 74.91 years (2014 est.) |
| Total fertility rate: | 2.51 children born/woman (2014 est.) |
| Health expenditures: | 3.8% of GDP (2011) |
| Physicians density: | 0.43 physicians/1,000 population (2009) |
| Hospital bed density: | 2.1 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 92.2% of population |
| Drinking water source: | total: 96.3% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 7.8% of population |
| unimproved: | total: 3.7% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 92.1% of population |
| Sanitation facility access: | rural: 81.7% of population |
| Sanitation facility access: | total: 87.2% of population |
| unimproved: | urban: 7.9% of population |
| unimproved: | rural: 18.3% of population |
| unimproved: | total: 12.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 900 (2012 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 30.6% (2008) |
| Children under the age of 5 years underweight: | 5.3% (2004) |
| Education expenditures: | 4.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.7% |
| Literacy: | male: 95.5% |
| Literacy: | female: 91.9% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years (2011) |
