| People and Society | Fiji |
| --- | --- |
| Population: | 926,276 (July 2018 est.) |
| Nationality: | noun: Fijian(s) |
| Nationality: | adjective: Fijian |
| Ethnic groups: | iTaukei 56.8% (predominantly Melanesian with a Polynesian admixture), Indo-Fijian 37.5%, Rotuman 1.2%, other 4.5% (European, part European, other Pacific Islanders, Chinese) (2007 est.) |
| Ethnic groups: | note: a 2010 law replaces 'Fijian' with 'iTaukei' when referring to the original and native settlers of Fiji |
| Languages: | English (official), Fijian (official), Hindustani |
| Religions: | Protestant 45% (Methodist 34.6%, Assembly of God 5.7%, Seventh Day Adventist 3.9%, and Anglican 0.8%), Hindu 27.9%, other Christian 10.4%, Roman Catholic 9.1%, Muslim 6.3%, Sikh 0.3%, other 0.3%, none 0.8% (2007 est.) |
| Age structure: | 0-14 years: 27.45% (male 129,962 /female 124,305) |
| Age structure: | 15-24 years: 15.91% (male 75,165 /female 72,219) |
| Age structure: | 25-54 years: 41.05% (male 194,743 /female 185,469) |
| Age structure: | 55-64 years: 8.79% (male 41,286 /female 40,167) |
| Age structure: | 65 years and over: 6.8% (male 28,924 /female 34,036) (2018 est.) |
| Dependency ratios: | total dependency ratio: 52.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 43.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 8.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 11.2 (2015 est.) |
| Median age: | total: 29.2 years (2018 est.) |
| Median age: | male: 29 years |
| Median age: | female: 29.4 years |
| Population growth rate: | 0.56% (2018 est.) |
| Birth rate: | 18.2 births/1,000 population (2018 est.) |
| Death rate: | 6.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | -6.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | approximately 70% of the population lives on the island of Viti Levu; roughly half of the population lives in urban areas |
| Urbanization: | urban population: 56.8% of total population (2019) |
| Urbanization: | rate of urbanization: 1.62% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 178,000 SUVA (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2018 est.) |
| Maternal mortality rate: | 34 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 9.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 10.2 deaths/1,000 live births |
| Infant mortality rate: | female: 8.2 deaths/1,000 live births |
| Life expectancy at birth: | total population: 73.2 years (2018 est.) |
| Life expectancy at birth: | male: 70.5 years |
| Life expectancy at birth: | female: 76 years |
| Total fertility rate: | 2.37 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 99.5% of population |
| Drinking water source: | rural: 91.2% of population |
| Drinking water source: | total: 95.7% of population |
| Drinking water source: | unimproved: urban: 0.5% of population |
| Drinking water source: | rural: 8.8% of population |
| Drinking water source: | total: 4.3% of population (2015 est.) |
| Current Health Expenditure: | 3.5% (2016) |
| Physicians density: | 0.84 physicians/1,000 population (2015) |
| Hospital bed density: | 2.3 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 93.4% of population (2015 est.) |
| Sanitation facility access: | rural: 88.4% of population (2015 est.) |
| Sanitation facility access: | total: 91.1% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 6.6% of population (2015 est.) |
| Sanitation facility access: | rural: 11.6% of population (2015 est.) |
| Sanitation facility access: | total: 8.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 30.2% (2016) |
| Education expenditures: | 3.9% of GDP (2013) |
| Unemployment, youth ages 15-24: | total: 15.4% |
| Unemployment, youth ages 15-24: | male: 11.9% |
| Unemployment, youth ages 15-24: | female: 22.4% (2016 est.) |
