| People and Society | FIJI |
| --- | --- |
| Nationality: | noun: Fijian(s) |
| Nationality: | adjective: Fijian |
| Ethnic groups: | iTaukei 56.8% (predominantly Melanesian with a Polynesian admixture), Indian 37.5%, Rotuman 1.2%, other 4.5% (European, part European, other Pacific Islanders, Chinese) |
| Ethnic groups: | note: a 2010 law replaces 'Fijian' with 'iTuakei' when referring to the original and native settlers of Fiji (2007 est.) |
| Languages: | English (official), Fijian (official), Hindustani |
| Religions: | Protestant 45% (Methodist 34.6%, Assembly of God 5.7%, Seventh Day Adventist 3.9%, and Anglican 0.8%), Hindu 27.9%, other Christian 10.4%, Roman Catholic 9.1%, Muslim 6.3%, Sikh 0.3%, other 0.3%, none 0.8% (2007 est.) |
| Population: | 909,389 (July 2015 est.) |
| Age structure: | 0-14 years: 28.03% (male 130,251/female 124,633) |
| Age structure: | 15-24 years: 16.73% (male 77,716/female 74,449) |
| Age structure: | 25-54 years: 41.12% (male 191,393/female 182,571) |
| Age structure: | 55-64 years: 8.04% (male 37,019/female 36,141) |
| Age structure: | 65 years and over: 6.07% (male 25,386/female 29,830) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.8% |
| population pyramid: | youth dependency ratio: 43.9% |
| population pyramid: | elderly dependency ratio: 8.9% |
| population pyramid: | potential support ratio: 11.2% (2015 est.) |
| Median age: | total: 28.2 years |
| Median age: | male: 28 years |
| Median age: | female: 28.4 years (2015 est.) |
| Population growth rate: | 0.67% (2015 est.) |
| Birth rate: | 19.43 births/1,000 population (2015 est.) |
| Death rate: | 6.04 deaths/1,000 population (2015 est.) |
| Net migration rate: | -6.75 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 53.7% of total population (2015) |
| Urbanization: | rate of urbanization: 1.45% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SUVA (capital) 176,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.94 deaths/1,000 live births |
| Infant mortality rate: | male: 10.97 deaths/1,000 live births |
| Infant mortality rate: | female: 8.87 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 72.43 years |
| Life expectancy at birth: | male: 69.79 years |
| Life expectancy at birth: | female: 75.2 years (2015 est.) |
| Total fertility rate: | 2.47 children born/woman (2015 est.) |
| Health expenditures: | 4.1% of GDP (2013) |
| Physicians density: | 0.43 physicians/1,000 population (2009) |
| Hospital bed density: | 2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 91.2% of population |
| Drinking water source: | total: 95.7% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 8.8% of population |
| unimproved: | total: 4.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.4% of population |
| Sanitation facility access: | rural: 88.4% of population |
| Sanitation facility access: | total: 91.1% of population |
| unimproved: | urban: 6.6% of population |
| unimproved: | rural: 11.6% of population |
| unimproved: | total: 8.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.13% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 700 (2014 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2014 est.) |
| Obesity - adult prevalence rate: | 35.9% (2014) |
| Education expenditures: | 4.2% of GDP (2011) |
| Unemployment, youth ages 15-24: | total: 25.4% |
| Unemployment, youth ages 15-24: | male: 14.8% |
| Unemployment, youth ages 15-24: | female: 18.7% (2007 est.) |
