| People and Society | FIJI |
| --- | --- |
| Population: | 920,938 (July 2017 est.) |
| Nationality: | noun: Fijian(s) |
| Nationality: | adjective: Fijian |
| Ethnic groups: | iTaukei 56.8% (predominantly Melanesian with a Polynesian admixture), Indian 37.5%, Rotuman 1.2%, other 4.5% (European, part European, other Pacific Islanders, Chinese) |
| Ethnic groups: | note: a 2010 law replaces 'Fijian' with 'iTuakei' when referring to the original and native settlers of Fiji (2007 est.) |
| Languages: | English (official), Fijian (official), Hindustani |
| Religions: | Protestant 45% (Methodist 34.6%, Assembly of God 5.7%, Seventh Day Adventist 3.9%, and Anglican 0.8%), Hindu 27.9%, other Christian 10.4%, Roman Catholic 9.1%, Muslim 6.3%, Sikh 0.3%, other 0.3%, none 0.8% (2007 est.) |
| Age structure: | 0-14 years: 27.7% (male 130,394/female 124,734) |
| Age structure: | 15-24 years: 16.13% (male 75,803/female 72,774) |
| Age structure: | 25-54 years: 41.08% (male 193,700/female 184,629) |
| Age structure: | 55-64 years: 8.53% (male 39,853/female 38,748) |
| Age structure: | 65 years and over: 6.55% (male 27,714/female 32,589) (2017 est.) |
| Dependency ratios: | total dependency ratio: 52.8 |
| Dependency ratios: | youth dependency ratio: 43.9 |
| Dependency ratios: | elderly dependency ratio: 8.9 |
| Dependency ratios: | potential support ratio: 11.2 (2015 est.) |
| Median age: | total: 28.9 years |
| Median age: | male: 28.7 years |
| Median age: | female: 29.1 years (2017 est.) |
| Population growth rate: | 0.6% (2017 est.) |
| Birth rate: | 18.6 births/1,000 population (2017 est.) |
| Death rate: | 6.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | -6.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | approximately 70% of the population lives on the island of Viti Levu; roughly half of the population lives in urban areas |
| Urbanization: | urban population: 54.5% of total population (2017) |
| Urbanization: | rate of urbanization: 1.18% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SUVA (capital) 176,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 9.5 deaths/1,000 live births |
| Infant mortality rate: | male: 10.5 deaths/1,000 live births |
| Infant mortality rate: | female: 8.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 73 years |
| Life expectancy at birth: | male: 70.3 years |
| Life expectancy at birth: | female: 75.8 years (2017 est.) |
| Total fertility rate: | 2.41 children born/woman (2017 est.) |
| Health expenditures: | 4.5% of GDP (2014) |
| Physicians density: | 0.44 physicians/1,000 population (2009) |
| Hospital bed density: | 2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 91.2% of population |
| Drinking water source: | total: 95.7% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 8.8% of population |
| unimproved: | total: 4.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.4% of population |
| Sanitation facility access: | rural: 88.4% of population |
| Sanitation facility access: | total: 91.1% of population |
| unimproved: | urban: 6.6% of population |
| unimproved: | rural: 11.6% of population |
| unimproved: | total: 8.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 30.2% (2016) |
| Education expenditures: | 3.9% of GDP (2013) |
| Unemployment, youth ages 15-24: | total: 18.7% |
| Unemployment, youth ages 15-24: | male: 14.8% |
| Unemployment, youth ages 15-24: | female: 25.4% (2007 est.) |
