| People and Society | SRI LANKA |
| --- | --- |
| Population: | 22.235 million (July 2016 est.) |
| Nationality: | noun: Sri Lankan(s) |
| Nationality: | adjective: Sri Lankan |
| Ethnic groups: | Sinhalese 74.9%, Sri Lankan Tamil 11.2%, Sri Lankan Moors 9.2%, Indian Tamil 4.2%, other 0.5% (2012 est.) |
| Languages: | Sinhala (official and national language) 74%, Tamil (official and national language) 18%, other 8% |
| Languages: | note: English, spoken competently by about 10% of the population, is commonly used in government and is referred to as the link language in the constitution |
| Religions: | Buddhist (official) 70.2%, Hindu 12.6%, Muslim 9.7%, Roman Catholic 6.1%, other Christian 1.3%, other 0.05% (2012 est.) |
| Age structure: | 0-14 years: 24.35% (male 2,760,821/female 2,652,747) |
| Age structure: | 15-24 years: 14.7% (male 1,660,402/female 1,608,022) |
| Age structure: | 25-54 years: 41.71% (male 4,544,253/female 4,729,544) |
| Age structure: | 55-64 years: 9.89% (male 1,018,357/female 1,181,060) |
| Age structure: | 65 years and over: 9.35% (male 882,740/female 1,197,054) (2016 est.) |
| Dependency ratios: | total dependency ratio: 51.2% |
| Dependency ratios: | youth dependency ratio: 37.2% |
| Dependency ratios: | elderly dependency ratio: 14.1% |
| Dependency ratios: | potential support ratio: 7.1% (2015 est.) |
| Median age: | total: 32.5 years |
| Median age: | male: 31.2 years |
| Median age: | female: 33.7 years (2016 est.) |
| Population growth rate: | 0.8% (2016 est.) |
| Birth rate: | 15.5 births/1,000 population (2016 est.) |
| Death rate: | 6.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.3 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 18.4% of total population (2015) |
| Urbanization: | rate of urbanization: 0.72% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Sri Jayewardenepura Kotte (legislative capital) 128,000 (2014); COLOMBO (capital) 707,000 (2015) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 25.4 |
| Mother's mean age at first birth: | note: median age at first birth among women 30-34 (2006/07 est.) |
| Maternal mortality rate: | 30 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.6 deaths/1,000 live births |
| Infant mortality rate: | male: 9.5 deaths/1,000 live births |
| Infant mortality rate: | female: 7.6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 76.8 years |
| Life expectancy at birth: | male: 73.3 years |
| Life expectancy at birth: | female: 80.4 years (2016 est.) |
| Total fertility rate: | 2.09 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 68.4% (2006/07) |
| Health expenditures: | 3.5% of GDP (2014) |
| Physicians density: | 0.68 physicians/1,000 population (2010) |
| Hospital bed density: | 3.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.5% of population |
| Drinking water source: | rural: 95% of population |
| Drinking water source: | total: 95.6% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 5% of population |
| unimproved: | total: 4.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.1% of population |
| Sanitation facility access: | rural: 96.7% of population |
| Sanitation facility access: | total: 95.1% of population |
| unimproved: | urban: 11.9% of population |
| unimproved: | rural: 3.3% of population |
| unimproved: | total: 4.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.03% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,200 (2015 est.) |
| HIV/AIDS - deaths: | 100 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 6.8% (2014) |
| Children under the age of 5 years underweight: | 26.3% (2012) |
| Education expenditures: | 1.6% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 93.6% |
| Literacy: | female: 91.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Unemployment, youth ages 15-24: | total: 20.1% |
| Unemployment, youth ages 15-24: | male: 15% |
| Unemployment, youth ages 15-24: | female: 27.8% (2013 est.) |
