| People and Society | Sri Lanka |
| --- | --- |
| Nationality: | noun: Sri Lankan(s) |
| Nationality: | adjective: Sri Lankan |
| Ethnic groups: | Sinhalese 73.8%, Sri Lankan Moors 7.2%, Indian Tamil 4.6%, Sri Lankan Tamil 3.9%, other 0.5%, unspecified 10% (2001 census provisional data) |
| Languages: | Sinhala (official and national language) 74%, Tamil (national language) 18%, other 8% |
| Languages: | note: English, spoken competently by about 10% of the population, is commonly used in government and is referred to as the link language in the constitution |
| Religions: | Buddhist (official) 69.1%, Muslim 7.6%, Hindu 7.1%, Christian 6.2%, unspecified 10% (2001 census provisional data) |
| Population: | 21,675,648 (July 2013 est.) |
| Age structure: | 0-14 years: 24.8% (male 2,741,879/female 2,632,613) |
| Age structure: | 15-24 years: 15.1% (male 1,659,566/female 1,615,616) |
| Age structure: | 25-54 years: 42.4% (male 4,484,738/female 4,697,355) |
| Age structure: | 55-64 years: 9.3% (male 939,174/female 1,084,108) |
| Age structure: | 65 years and over: 8.4% (male 778,629/female 1,041,970) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.7 % |
| population pyramid: | youth dependency ratio: 37.9 % |
| population pyramid: | elderly dependency ratio: 12.8 % |
| population pyramid: | potential support ratio: 7.8 (2013) |
| Median age: | total: 31.4 years |
| Median age: | male: 30.3 years |
| Median age: | female: 32.5 years (2013 est.) |
| Population growth rate: | 0.89% (2013 est.) |
| Birth rate: | 16.64 births/1,000 population (2013 est.) |
| Death rate: | 6.01 deaths/1,000 population (2013 est.) |
| Net migration rate: | -1.74 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 15.1% of total population (2011) |
| Urbanization: | rate of urbanization: 1.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | COLOMBO (capital) 681,000 (2009) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 22.6 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2000 est.) |
| Maternal mortality rate: | 35 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 9.24 deaths/1,000 live births |
| Infant mortality rate: | male: 10.21 deaths/1,000 live births |
| Infant mortality rate: | female: 8.24 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 76.15 years |
| Life expectancy at birth: | male: 72.64 years |
| Life expectancy at birth: | female: 79.79 years (2013 est.) |
| Total fertility rate: | 2.15 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 68% (2006/07) |
| Health expenditures: | 3.4% of GDP (2011) |
| Physicians density: | 0.49 physicians/1,000 population (2006) |
| Hospital bed density: | 3.1 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 90% of population |
| Drinking water source: | total: 91% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 10% of population |
| unimproved: | total: 9% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88% of population |
| Sanitation facility access: | rural: 93% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 12% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 8% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5.1% (2008) |
| Children under the age of 5 years underweight: | 21.6% (2009) |
| Education expenditures: | 2% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91.2% |
| Literacy: | male: 92.6% |
| Literacy: | female: 90% (2010 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Unemployment, youth ages 15-24: | total: 19.4% |
| Unemployment, youth ages 15-24: | male: 16.3% |
| Unemployment, youth ages 15-24: | female: 24.7% (2010) |
