| People and Society | COSTA RICA |
| --- | --- |
| Population: | 4,930,258 (July 2017 est.) |
| Nationality: | noun: Costa Rican(s) |
| Nationality: | adjective: Costa Rican |
| Ethnic groups: | white or mestizo 83.6%, mulato 6.7%, indigenous 2.4%, black of African descent 1.1%, other 1.1%, none 2.9%, unspecified 2.2% (2011 est.) |
| Languages: | Spanish (official), English |
| Religions: | Roman Catholic 76.3%, Evangelical 13.7%, Jehovah's Witness 1.3%, other Protestant 0.7%, other 4.8%, none 3.2% |
| Demographic profile: | Costa Rica's political stability, high standard of living, and well-developed social benefits system set it apart from its Central American neighbors. Through the government's sustained social spending - almost 20% of GDP annually - Costa Rica has made tremendous progress toward achieving its goal of providing universal access to education, healthcare, clean water, sanitation, and electricity. Since the 1970s, expansion of these services has led to a rapid decline in infant mortality, an increase in life expectancy at birth, and a sharp decrease in the birth rate. The average number of children born per women has fallen from about 7 in the 1960s to 3.5 in the early 1980s to below replacement level today. Costa Rica's poverty rate is lower than in most Latin American countries, but it has stalled at around 20% for almost two decades. |
| Demographic profile: | Costa Rica is a popular regional immigration destination because of its job opportunities and social programs. Almost 9% of the population is foreign-born, with Nicaraguans comprising nearly three-quarters of the foreign population. Many Nicaraguans who perform unskilled seasonal labor enter Costa Rica illegally or overstay their visas, which continues to be a source of tension. Less than 3% of Costa Rica's population lives abroad. The overwhelming majority of expatriates have settled in the United States after completing a university degree or in order to work in a highly skilled field. |
| Age structure: | 0-14 years: 22.61% (male 570,063/female 544,502) |
| Age structure: | 15-24 years: 16.35% (male 410,993/female 394,865) |
| Age structure: | 25-54 years: 44.03% (male 1,092,504/female 1,078,458) |
| Age structure: | 55-64 years: 9.2% (male 220,879/female 232,530) |
| Age structure: | 65 years and over: 7.82% (male 177,882/female 207,582) (2017 est.) |
| Dependency ratios: | total dependency ratio: 45.4 |
| Dependency ratios: | youth dependency ratio: 32.4 |
| Dependency ratios: | elderly dependency ratio: 12.9 |
| Dependency ratios: | potential support ratio: 7.7 (2015 est.) |
| Median age: | total: 31.3 years |
| Median age: | male: 30.8 years |
| Median age: | female: 31.8 years (2017 est.) |
| Population growth rate: | 1.16% (2017 est.) |
| Birth rate: | 15.5 births/1,000 population (2017 est.) |
| Death rate: | 4.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | roughly half of the nation's population resides in urban areas; the capital of San Jose is the largest city and home to approximately one-fifth of the population |
| Urbanization: | urban population: 78.5% of total population (2017) |
| Urbanization: | rate of urbanization: 2.1% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SAN JOSE (capital) 1.17 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
