| People | Guyana |
| --- | --- |
| Population: | 770,794 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 25.9% (male 101,712/female 97,907) |
| Age structure: | 15-64 years: 68.7% (male 267,239/female 262,188) |
| Age structure: | 65 years and over: 5.4% (male 17,610/female 24,138) (2008 est.) |
| Median age: | total: 28.2 years |
| Median age: | male: 27.7 years |
| Median age: | female: 28.7 years (2008 est.) |
| Population growth rate: | 0.211% (2008 est.) |
| Birth rate: | 17.85 births/1,000 population (2008 est.) |
| Death rate: | 8.29 deaths/1,000 population (2008 est.) |
| Net migration rate: | -7.45 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 30.43 deaths/1,000 live births |
| Infant mortality rate: | male: 33.87 deaths/1,000 live births |
| Infant mortality rate: | female: 26.82 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 66.43 years |
| Life expectancy at birth: | male: 63.81 years |
| Life expectancy at birth: | female: 69.18 years (2008 est.) |
| Total fertility rate: | 2.03 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 2.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2003 est.) |
| HIV/AIDS - deaths: | 1,100 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2008) |
| Nationality: | noun: Guyanese (singular and plural) |
| Nationality: | adjective: Guyanese |
| Ethnic groups: | East Indian 43.5%, black (African) 30.2%, mixed 16.7%, Amerindian 9.1%, other 0.5% (2002 census) |
| Religions: | Hindu 28.4%, Pentecostal 16.9%, Roman Catholic 8.1%, Anglican 6.9%, Seventh Day Adventist 5%, Methodist 1.7%, Jehovah Witness 1.1%, other Christian 17.7%, Muslim 7.2%, other 4.3%, none 4.3% (2002 census) |
| Languages: | English, Amerindian dialects, Creole, Caribbean Hindustani (a dialect of Hindi), Urdu |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.1% |
| Literacy: | female: 98.5% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2005) |
| Education expenditures: | 8.3% of GDP (2006) |
