| People and Society | Guyana |
| --- | --- |
| Nationality: | noun: Guyanese (singular and plural) |
| Nationality: | adjective: Guyanese |
| Ethnic groups: | East Indian 43.5%, black (African) 30.2%, mixed 16.7%, Amerindian 9.1%, other 0.5% (2002 census) |
| Languages: | English, Amerindian dialects, Creole, Caribbean Hindustani (a dialect of Hindi), Urdu |
| Religions: | Protestant 30.5% (Pentecostal 16.9%, Anglican 6.9%, Seventh-Day Adventist 5%, Methodist 1.7%), Hindu 28.4%, Roman Catholic 8.1%, Jehovah's Witnesses 1.1%, Muslim 7.2%, other Christian 17.7%, other 4.3%, none 4.3% (2002 census) |
| Population: | 744,768 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 31.9% (male 120,981/female 116,654) |
| Age structure: | 15-64 years: 63.3% (male 235,566/female 235,717) |
| Age structure: | 65 years and over: 4.8% (male 14,801/female 21,049) (2011 est.) |
| Median age: | total: 23.9 years |
| Median age: | male: 23.2 years |
| Median age: | female: 24.6 years (2011 est.) |
| Population growth rate: | -0.44% (2011 est.) |
| Birth rate: | 17.12 births/1,000 population (2011 est.) |
| Death rate: | 7.2 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -14.32 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 29% of total population (2010) |
| Urbanization: | rate of urbanization: 0.5% annual rate of change (2010-15 est.) |
| Major cities - population: | GEORGETOWN (capital) 132,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 270 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 36.76 deaths/1,000 live births |
| Infant mortality rate: | male: 41.09 deaths/1,000 live births |
| Infant mortality rate: | female: 32.2 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 67.08 years |
| Life expectancy at birth: | male: 63.27 years |
| Life expectancy at birth: | female: 71.07 years (2011 est.) |
| Total fertility rate: | 2.34 children born/woman (2011 est.) |
| Health expenditures: | 6.1% of GDP (2009) |
| Physicians density: | 0.48 physicians/1,000 population (2000) |
| Hospital bed density: | 1.9 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 93% of population |
| Drinking water source: | total: 94% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 6% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 85% of population |
| Sanitation facility access: | rural: 80% of population |
| Sanitation facility access: | total: 81% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 20% of population |
| unimproved: | total: 19% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5,900 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 10.8% (2007) |
| Education expenditures: | 6.1% of GDP (2007) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 91.8% |
| Literacy: | male: 92% |
| Literacy: | female: 91.6% (2002 Census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2009) |
| Unemployment, youth ages 15-24: | total: 24.1% |
| Unemployment, youth ages 15-24: | male: 20.6% |
| Unemployment, youth ages 15-24: | female: 31.3% (2002) |
