| People and Society | UNITED KINGDOM |
| --- | --- |
| Nationality: | noun: Briton(s), British (collective plural) |
| Nationality: | adjective: British |
| Ethnic groups: | white 87.2%, black/African/Caribbean/black British 3%, Asian/Asian British: Indian 2.3%, Asian/Asian British: Pakistani 1.9%, mixed 2%, other 3.7% (2011 est.) |
| Languages: | English |
| Languages: | note: the following are recognized regional languages: Scots (about 30% of the population of Scotland), Scottish Gaelic (about 60,000 in Scotland), Welsh (about 20% of the population of Wales), Irish (about 10% of the population of Northern Ireland), Cornish (some 2,000 to 3,000 in Cornwall) (2012 est.) |
| Religions: | Christian (includes Anglican, Roman Catholic, Presbyterian, Methodist) 59.5%, Muslim 4.4%, Hindu 1.3%, other 2%, unspecified 7.2%, none 25.7% (2011 est.) |
| Population: | 64,088,222 (July 2015 est.) |
| Age structure: | 0-14 years: 17.37% (male 5,706,871/female 5,424,654) |
| Age structure: | 15-24 years: 12.41% (male 4,060,480/female 3,891,262) |
| Age structure: | 25-54 years: 40.91% (male 13,344,087/female 12,873,234) |
| Age structure: | 55-64 years: 11.58% (male 3,675,565/female 3,746,483) |
| Age structure: | 65 years and over: 17.73% (male 5,086,919/female 6,278,667) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55.1% |
| population pyramid: | youth dependency ratio: 27.6% |
| population pyramid: | elderly dependency ratio: 27.6% |
| population pyramid: | potential support ratio: 3.6% (2015 est.) |
| Median age: | total: 40.4 years |
| Median age: | male: 39.2 years |
| Median age: | female: 41.6 years (2015 est.) |
| Population growth rate: | 0.54% (2015 est.) |
| Birth rate: | 12.17 births/1,000 population (2015 est.) |
| Death rate: | 9.35 deaths/1,000 population (2015 est.) |
| Net migration rate: | 2.54 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 82.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.88% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LONDON (capital) 10.313 million; Manchester 2.646 million; Birmingham 2.515 million; Glasgow 1.223 million; Southampton/Portsmouth 882,000; Liverpool 870,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.38 deaths/1,000 live births |
| Infant mortality rate: | male: 4.8 deaths/1,000 live births |
| Infant mortality rate: | female: 3.95 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 80.54 years |
| Life expectancy at birth: | male: 78.37 years |
| Life expectancy at birth: | female: 82.83 years (2015 est.) |
| Total fertility rate: | 1.89 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 84% |
| Contraceptive prevalence rate: | note: percent of women aged 16-49 (2008/09) |
| Health expenditures: | 9.1% of GDP (2013) |
| Physicians density: | 2.81 physicians/1,000 population (2013) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.1% of population |
| Sanitation facility access: | rural: 99.6% of population |
| Sanitation facility access: | total: 99.2% of population |
| unimproved: | urban: 0.9% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.33% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 126,700 (2013 est.) |
| HIV/AIDS - deaths: | fewer than 600 (2013 est.) |
| Obesity - adult prevalence rate: | 29.8% (2014) |
| Education expenditures: | 6% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2012) |
| Unemployment, youth ages 15-24: | total: 21% |
| Unemployment, youth ages 15-24: | male: 23.8% |
| Unemployment, youth ages 15-24: | female: 17.9% (2012 est.) |
