| People and Society | United Kingdom |
| --- | --- |
| Population: | 65,761,117 United Kingdom (July 2020 est.) |
| Population: | constituent countries by percentage of total population: |
| Population: | England 84% |
| Population: | Scotland 8% |
| Population: | Wales 5% |
| Population: | Northern Ireland 3% |
| Nationality: | noun: Briton(s), British (collective plural) |
| Nationality: | adjective: British |
| Ethnic groups: | White 87.2%, Black/African/Caribbean/black British 3%, Asian/Asian British: Indian 2.3%, Asian/Asian British: Pakistani 1.9%, mixed 2%, other 3.7% (2011 est.) |
| Languages: | English |
| Languages: | note: the following are recognized regional languages: Scots (about 30% of the population of Scotland), Scottish Gaelic (about 60,000 speakers in Scotland), Welsh (about 20% of the population of Wales), Irish (about 10% of the population of Northern Ireland), Cornish (some 2,000 to 3,000 people in Cornwall) (2012 est.) |
| Religions: | Christian (includes Anglican, Roman Catholic, Presbyterian, Methodist) 59.5%, Muslim 4.4%, Hindu 1.3%, other 2%, unspecified 7.2%, none 25.7% (2011 est.) |
| Age structure: | 0-14 years: 17.63% (male 5,943,435/female 5,651,780) |
| Age structure: | 15-24 years: 11.49% (male 3,860,435/female 3,692,398) |
| Age structure: | 25-54 years: 39.67% (male 13,339,965/female 12,747,598) |
| Age structure: | 55-64 years: 12.73% (male 4,139,378/female 4,234,701) |
| Age structure: | 65 years and over: 18.48% (male 5,470,116/female 6,681,311) (2020 est.) |
| Dependency ratios: | total dependency ratio: 57.1 |
| Dependency ratios: | youth dependency ratio: 27.8 |
| Dependency ratios: | elderly dependency ratio: 29.3 |
| Dependency ratios: | potential support ratio: 3.4 (2020 est.) |
| Median age: | total: 40.6 years |
| Median age: | male: 39.6 years |
| Median age: | female: 41.7 years (2020 est.) |
| Population growth rate: | 0.49% (2020 est.) |
| Birth rate: | 11.9 births/1,000 population (2020 est.) |
| Death rate: | 9.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | 2.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the core of the population lies in and around London, with significant clusters found in central Britain around Manchester and Liverpool, in the Scotish lowlands between Endinburgh and Glasgow, southern Wales in and around Cardiff, and far eastern Northern Ireland centered on Belfast |
| Urbanization: | urban population: 83.9% of total population (2020) |
| Urbanization: | rate of urbanization: 0.89% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 9.304 million LONDON (capital), 2.730 million Manchester, 2.607 million Birmingham, 1.889 million West Yorkshire, 1.663 million Glasgow, 928,000 Southampton/Portsmouth (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 28.8 years (2017 est.) |
| Mother's mean age at first birth: | note: data represent England and Wales only |
| Maternal mortality rate: | 7 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 4.1 deaths/1,000 live births |
| Infant mortality rate: | male: 4.5 deaths/1,000 live births |
| Infant mortality rate: | female: 3.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.1 years |
| Life expectancy at birth: | male: 78.8 years |
| Life expectancy at birth: | female: 83.5 years (2020 est.) |
| Total fertility rate: | 1.86 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 9.6% (2017) |
| Physicians density: | 2.79 physicians/1,000 population (2017) |
| Hospital bed density: | 2.5 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | Covid-19 (see note) (2020) |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout the UK; as of 8 December 2020, the UK has reported a total of 1,705,975 cases of COVID-19 or 25,130 cumulative cases of COVID-19 per 1 million population with 899 cumulative deaths per 1 million population; individuals arriving in the UK must self-isolate for 14 days and may be contacted to verify compliance; new arrivals will be required to provide UK officials with contact and travel information prior to arrival; the US Department of Homeland Security has issued instructions requiring US passengers who have been in the UK to travel through select airports where the US Government has implemented enhanced screening procedures |
| Obesity - adult prevalence rate: | 27.8% (2016) |
| Education expenditures: | 5.4% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2018) |
| Unemployment, youth ages 15-24: | total: 11.3% |
| Unemployment, youth ages 15-24: | male: 12.2% |
| Unemployment, youth ages 15-24: | female: 10.3% (2018 est.) |
