| People and Society | UNITED KINGDOM |
| --- | --- |
| Population: | 64,769,452 (July 2017 est.) |
| Nationality: | noun: Briton(s), British (collective plural) |
| Nationality: | adjective: British |
| Ethnic groups: | white 87.2%, black/African/Caribbean/black British 3%, Asian/Asian British: Indian 2.3%, Asian/Asian British: Pakistani 1.9%, mixed 2%, other 3.7% (2011 est.) |
| Languages: | English |
| Languages: | note: the following are recognized regional languages: Scots (about 30% of the population of Scotland), Scottish Gaelic (about 60,000 in Scotland), Welsh (about 20% of the population of Wales), Irish (about 10% of the population of Northern Ireland), Cornish (some 2,000 to 3,000 in Cornwall) (2012 est.) |
| Religions: | Christian (includes Anglican, Roman Catholic, Presbyterian, Methodist) 59.5%, Muslim 4.4%, Hindu 1.3%, other 2%, unspecified 7.2%, none 25.7% (2011 est.) |
| Age structure: | 0-14 years: 17.53% (male 5,819,363/female 5,532,123) |
| Age structure: | 15-24 years: 11.9% (male 3,938,643/female 3,770,511) |
| Age structure: | 25-54 years: 40.55% (male 13,387,903/female 12,873,090) |
| Age structure: | 55-64 years: 11.98% (male 3,843,268/female 3,918,244) |
| Age structure: | 65 years and over: 18.04% (male 5,246,475/female 6,439,832) (2017 est.) |
| Dependency ratios: | total dependency ratio: 55.5 |
| Dependency ratios: | youth dependency ratio: 27.4 |
| Dependency ratios: | elderly dependency ratio: 28.2 |
| Dependency ratios: | potential support ratio: 3.5 (2015 est.) |
| Median age: | total: 40.5 years |
| Median age: | male: 39.3 years |
| Median age: | female: 41.7 years (2017 est.) |
| Population growth rate: | 0.52% (2017 est.) |
| Birth rate: | 12.1 births/1,000 population (2017 est.) |
| Death rate: | 9.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the core of the population lies in and around London, with significant clusters found in central Britain around Manchester and Liverpool, in the Scotish lowlands between Endinburgh and Glasgow, southern Wales in and around Cardiff, and far eastern Northern Ireland centered on Belfast |
| Urbanization: | urban population: 83.1% of total population (2017) |
| Urbanization: | rate of urbanization: 0.82% annual rate of change (2015-20 est.) |
| Major urban areas - population: | LONDON (capital) 10.313 million; Manchester 2.646 million; Birmingham 2.515 million; Glasgow 1.223 million; Southampton/Portsmouth 882,000; Liverpool 870,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 28.5 years |
| Mother's mean age at first birth: | note: data represent England and Wales only (2014 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4.3 deaths/1,000 live births |
| Infant mortality rate: | male: 4.7 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 80.8 years |
| Life expectancy at birth: | male: 78.6 years |
| Life expectancy at birth: | female: 83.1 years (2017 est.) |
| Total fertility rate: | 1.88 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 84% |
| Contraceptive prevalence rate: | note: percent of women aged 16-49 (2008/09) |
| Health expenditures: | 9.1% of GDP (2014) |
| Physicians density: | 2.81 physicians/1,000 population (2015) |
| Hospital bed density: | 2.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.1% of population |
| Sanitation facility access: | rural: 99.6% of population |
| Sanitation facility access: | total: 99.2% of population |
| unimproved: | urban: 0.9% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27.8% (2016) |
| Education expenditures: | 5.8% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2014) |
| Unemployment, youth ages 15-24: | total: 14.6% |
| Unemployment, youth ages 15-24: | male: 16.2% |
| Unemployment, youth ages 15-24: | female: 12.9% (2015 est.) |
