| People and Society | DOMINICA |
| --- | --- |
| Nationality: | noun: Dominican(s) |
| Nationality: | adjective: Dominican |
| Ethnic groups: | black 86.6%, mixed 9.1%, indigenous 2.9%, other 1.3%, unspecified 0.2% (2001 est.) |
| Languages: | English (official), French patois |
| Religions: | Roman Catholic 61.4%, Protestant 20.6% (inclues Evangelical 6.7%, Seventh Day Adventist 6.1%, Pentecostal 5.6%, Baptist 4.1%, Methodist 3.7%, Church of God 1.2%, other 1.3%), Rastafarian 1.3%, Jehovah's Witnesses 1.2%, other 0.3%, none 6.1%, unspecified 1.1% (2001 est.) |
| Population: | 73,607 (July 2015 est.) |
| Age structure: | 0-14 years: 21.96% (male 8,265/female 7,902) |
| Age structure: | 15-24 years: 16.14% (male 6,117/female 5,762) |
| Age structure: | 25-54 years: 41.83% (male 15,617/female 15,170) |
| Age structure: | 55-64 years: 9.39% (male 3,696/female 3,213) |
| Age structure: | 65 years and over: 10.69% (male 3,463/female 4,402) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 32.6 years |
| population pyramid: | male: 32.1 years |
| population pyramid: | female: 33 years (2015 est.) |
| Population growth rate: | 0.21% (2015 est.) |
| Birth rate: | 15.41 births/1,000 population (2015 est.) |
| Death rate: | 7.91 deaths/1,000 population (2015 est.) |
| Net migration rate: | -5.38 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 69.5% of total population (2015) |
| Urbanization: | rate of urbanization: 0.84% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ROSEAU (capital) 15,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 1.15 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 11.25 deaths/1,000 live births |
| Infant mortality rate: | male: 14.94 deaths/1,000 live births |
| Infant mortality rate: | female: 7.36 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.79 years |
| Life expectancy at birth: | male: 73.82 years |
| Life expectancy at birth: | female: 79.91 years (2015 est.) |
| Total fertility rate: | 2.04 children born/woman (2015 est.) |
| Health expenditures: | 6% of GDP (2013) |
| Hospital bed density: | 3.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.7% of population |
| unimproved: | urban: 4.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 79.6% of population |
| Sanitation facility access: | rural: 84.3% of population |
| Sanitation facility access: | total: 81.1% of population |
| unimproved: | urban: 20.4% of population |
| unimproved: | rural: 15.7% of population |
| unimproved: | total: 18.9% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.9% (2014) |
