| People and Society | Russia |
| --- | --- |
| Nationality: | noun: Russian(s) |
| Nationality: | adjective: Russian |
| Ethnic groups: | Russian 77.7%, Tatar 3.7%, Ukrainian 1.4%, Bashkir 1.1%, Chuvash 1%, Chechen 1%, other 10.2%, unspecified 3.9% |
| Ethnic groups: | note: more than 190 ethnic groups are represents in Russia's 2010 census (2010 est.) |
| Languages: | Russian (official) 96.3%, Dolgang 5.3%, German 1.5%, Chechen 1%, Tatar 3%, other 10.3% |
| Languages: | note: shares sum to more than 100% because some respondents gave more than one answer on the census (2010 est.) |
| Religions: | Russian Orthodox 15-20%, Muslim 10-15%, other Christian 2% (2006 est.) |
| Religions: | note: estimates are of practicing worshipers; Russia has large populations of non-practicing believers and non-believers, a legacy of over seven decades of Soviet rule |
| Population: | 142,470,272 (July 2014 est.) |
| Age structure: | 0-14 years: 16.4% (male 11,980,138/female 11,344,818) |
| Age structure: | 15-24 years: 10.7% (male 7,828,947/female 7,482,143) |
| Age structure: | 25-54 years: 45.8% (male 31,928,886/female 33,319,671) |
| Age structure: | 55-64 years: 13.8% (male 8,408,637/female 11,287,153) |
| Age structure: | 65 years and over: 13.1% (male 5,783,983/female 13,105,896) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.3 % |
| population pyramid: | youth dependency ratio: 22.8 % |
| population pyramid: | elderly dependency ratio: 18.5 % |
| population pyramid: | potential support ratio: 5.4 (2014 est.) |
| Median age: | total: 38.9 years |
| Median age: | male: 36 years |
| Median age: | female: 41.9 years (2014 est.) |
| Population growth rate: | -0.03% (2014 est.) |
| Birth rate: | 11.87 births/1,000 population (2014 est.) |
| Death rate: | 13.83 deaths/1,000 population (2014 est.) |
| Net migration rate: | 1.69 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 73.8% of total population (2011) |
| Urbanization: | rate of urbanization: 0.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MOSCOW (capital) 11.621 million; Saint Petersburg 4.866 million; Novosibirsk 1.478 million; Yekaterinburg 1.355 million; Nizhniy Novgorod 1.245 million; Samara 1.166 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.44 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 24.6 (2009 est.) |
| Maternal mortality rate: | 34 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 7.08 deaths/1,000 live births |
| Infant mortality rate: | male: 7.93 deaths/1,000 live births |
| Infant mortality rate: | female: 6.18 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 70.16 years |
| Life expectancy at birth: | male: 64.37 years |
| Life expectancy at birth: | female: 76.3 years (2014 est.) |
| Total fertility rate: | 1.61 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 79.5% |
| Contraceptive prevalence rate: | note: percent of women under age 50 (2007) |
| Health expenditures: | 6.2% of GDP (2011) |
| Physicians density: | 4.31 physicians/1,000 population (2006) |
| Hospital bed density: | 9.7 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.7% of population |
| Drinking water source: | rural: 92.2% of population |
| Drinking water source: | total: 97% of population |
| unimproved: | urban: 1.3% of population |
| unimproved: | rural: 7.8% of population |
| unimproved: | total: 3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 74.4% of population |
| Sanitation facility access: | rural: 59.3% of population |
| Sanitation facility access: | total: 70.5% of population |
| unimproved: | urban: 25.6% of population |
| unimproved: | rural: 40.7% of population |
| unimproved: | total: 29.5% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 980,000 (2009 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 26.5% (2008) |
| Education expenditures: | 4.1% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.6% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2009) |
| Unemployment, youth ages 15-24: | total: 14.8% |
| Unemployment, youth ages 15-24: | male: 14.5% |
| Unemployment, youth ages 15-24: | female: 15.1% (2012) |
