| People and Society | South Africa |
| --- | --- |
| Population: | 55,380,210 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: South African(s) |
| Nationality: | adjective: South African |
| Ethnic groups: | black African 80.9%, colored 8.8%, white 7.8%, Indian/Asian 2.5% (2018 est.) |
| Ethnic groups: | note: colored is a term used in South Africa, including on the national census, for persons of mixed race ancestry |
| Languages: | isiZulu (official) 24.7%, isiXhosa (official) 15.6%, Afrikaans (official) 12.1%, Sepedi (official) 9.8%, Setswana (official) 8.9%, English (official) 8.4%, Sesotho (official) 8%, Xitsonga (official) 4%, siSwati (official) 2.6%, Tshivenda (official) 2.5%, isiNdebele (official) 1.6%, other (includes Khoi, Nama, and San languages) 1.9% (2017 est.) |
| Languages: | note: data represent language spoken most often at home |
| Religions: | Christian 86%, ancestral, tribal, animist, or other traditional African religions 5.4%, Muslim 1.9%, other 1.5%, nothing in particular 5.2% (2015 est.) |
| Demographic profile: | South Africaâ€™s youthful population is gradually aging, as the countryâ€™s total fertility rate (TFR) has declined dramatically from about 6 children per woman in the 1960s to roughly 2.2 in 2014. This pattern is similar to fertility trends in South Asia, the Middle East, and North Africa, and sets South Africa apart from the rest of sub-Saharan Africa, where the average TFR remains higher than other regions of the world. Today, South Africaâ€™s decreasing number of reproductive age women is having fewer children, as women increase their educational attainment, workforce participation, and use of family planning methods; delay marriage; and opt for smaller families. |
| Demographic profile: | As the proportion of working-age South Africans has grown relative to children and the elderly, South Africa has been unable to achieve a demographic dividend because persistent high unemployment and the prevalence of HIV/AIDs have created a larger-than-normal dependent population. HIV/AIDS was also responsible for South Africaâ€™s average life expectancy plunging to less than 43 years in 2008; it has rebounded to 63 years as of 2017. HIV/AIDS continues to be a serious public health threat, although awareness-raising campaigns and the wider availability of anti-retroviral drugs is stabilizing the number of new cases, enabling infected individuals to live longer, healthier lives, and reducing mother-child transmissions. |
| Demographic profile: | Migration to South Africa began in the second half of the 17th century when traders from the Dutch East India Company settled in the Cape and started using slaves from South and southeast Asia (mainly from India but also from present-day Indonesia, Bangladesh, Sri Lanka, and Malaysia) and southeast Africa (Madagascar and Mozambique) as farm laborers and, to a lesser extent, as domestic servants. The Indian subcontinent remained the Cape Colonyâ€™s main source of slaves in the early 18th century, while slaves were increasingly obtained from southeast Africa in the latter part of the 18th century and into the 19th century under British rule. |
| Demographic profile: | After slavery was completely abolished in the British Empire in 1838, South Africaâ€™s colonists turned to temporary African migrants and indentured labor through agreements with India and later China, countries that were anxious to export workers to alleviate domestic poverty and overpopulation. Of the more than 150,000 indentured Indian laborers hired to work in Natalâ€™s sugar plantations between 1860 and 1911, most exercised the right as British subjects to remain permanently (a small number of Indian immigrants came freely as merchants). Because of growing resentment toward Indian workers, the 63,000 indentured Chinese workers who mined gold in Transvaal between 1904 and 1911 were under more restrictive contracts and generally were forced to return to their homeland. |
| Demographic profile: | In the late 19th century and nearly the entire 20th century, South Africaâ€™s then British coloniesâ€™ and Dutch statesâ€™ enforced selective immigration policies that welcomed "assimilable" white Europeans as permanent residents but excluded or restricted other immigrants. Following the Union of South Africaâ€™s passage of a law in 1913 prohibiting Asian and other non-white immigrants and its elimination of the indenture system in 1917, temporary African contract laborers from neighboring countries became the dominant source of labor in the burgeoning mining industries. Others worked in agriculture and smaller numbers in manufacturing, domestic service, transportation, and construction. Throughout the 20th century, at least 40% of South Africaâ€™s miners were foreigners; the numbers peaked at over 80% in the late 1960s. Mozambique, Lesotho, Botswana, and Eswatini were the primary sources of miners, and Malawi and Zimbabwe were periodic suppliers. |
| Demographic profile: | Under apartheid, a "two gates" migration policy focused on policing and deporting illegal migrants rather than on managing migration to meet South Africaâ€™s development needs. The exclusionary 1991 Aliens Control Act limited labor recruitment to the highly skilled as defined by the ruling white minority, while bilateral labor agreements provided exemptions that enabled the influential mining industry and, to a lesser extent, commercial farms, to hire temporary, low-paid workers from neighboring states. Illegal African migrants were often tacitly allowed to work for low pay in other sectors but were always under threat of deportation. |
| Demographic profile: | The abolishment of apartheid in 1994 led to the development of a new inclusive national identity and the strengthening of the countryâ€™s restrictive immigration policy. Despite South Africaâ€™s protectionist approach to immigration, the downsizing and closing of mines, and rising unemployment, migrants from across the continent believed that the country held work opportunities. Fewer African labor migrants were issued temporary work permits and, instead, increasingly entered South Africa with visitorsâ€™ permits or came illegally, which drove growth in cross-border trade and the informal job market. A new wave of Asian immigrants has also arrived over the last two decades, many operating small retail businesses. |
| Demographic profile: | In the post-apartheid period, increasing numbers of highly skilled white workers emigrated, citing dissatisfaction with the political situation, crime, poor services, and a reduced quality of life. The 2002 Immigration Act and later amendments were intended to facilitate the temporary migration of skilled foreign labor to fill labor shortages, but instead the legislation continues to create regulatory obstacles. Although the education system has improved and brain drain has slowed in the wake of the 2008 global financial crisis, South Africa continues to face skills shortages in several key sectors, such as health care and technology. |
| Demographic profile: | South Africaâ€™s stability and economic growth has acted as a magnet for refugees and asylum seekers from nearby countries, despite the prevalence of discrimination and xenophobic violence. Refugees have included an estimated 350,000 Mozambicans during its 1980s civil war and, more recently, several thousand Somalis, Congolese, and Ethiopians. Nearly all of the tens of thousands of Zimbabweans who have applied for asylum in South Africa have been categorized as economic migrants and denied refuge. |
| Age structure: | 0-14 years: 28.18% (male 7,815,651 /female 7,793,261) |
| Age structure: | 15-24 years: 17.24% (male 4,711,480 /female 4,837,897) |
| Age structure: | 25-54 years: 42.05% (male 11,782,848 /female 11,503,831) |
| Age structure: | 55-64 years: 6.71% (male 1,725,034 /female 1,992,035) |
| Age structure: | 65 years and over: 5.81% (male 1,351,991 /female 1,866,182) (2018 est.) |
| Dependency ratios: | total dependency ratio: 52.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 44.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 12.9 (2015 est.) |
| Median age: | total: 27.4 years (2018 est.) |
