| People and Society | Chad |
| --- | --- |
| Population: | 15,833,116 (July 2018 est.) |
| Nationality: | noun: Chadian(s) |
| Nationality: | adjective: Chadian |
| Ethnic groups: | Sara (Ngambaye/Sara/Madjingaye/Mbaye) 30.5%, Kanembu/Bornu/Buduma 9.8%, Arab 9.7%, Wadai/Maba/Masalit/Mimi 7%, Gorane 5.8%, Masa/Musseye/Musgum 4.9%, Bulala/Medogo/Kuka 3.7%, Marba/Lele/Mesme 3.5%, Mundang 2.7%, Bidiyo/Migaama/Kenga/Dangleat 2.5%, Dadjo/Kibet/Muro 2.4%, Tupuri/Kera 2%, Gabri/Kabalaye/Nanchere/Somrai 2%, Fulani/Fulbe/Bodore 1.8%, Karo/Zime/Peve 1.3%, Baguirmi/Barma 1.2%, Zaghawa/Bideyat/Kobe 1.1%, Tama/Assongori/Mararit 1.1%, Mesmedje/Massalat/Kadjakse 0.8%, other Chadian ethnicities 3.4%, Chadians of foreign ethnicities 0.9%, foreign nationals 0.3%, unspecified 1.7% (2014-15 est.) |
| Languages: | French (official), Arabic (official), Sara (in south), more than 120 different languages and dialects |
| Religions: | Muslim 52.1%, Protestant 23.9%, Roman Catholic 20%, animist 0.3%, other Christian 0.2%, none 2.8%, unspecified 0.7% (2014-15 est.) |
| Demographic profile: | Despite the start of oil production in 2003, 40% of Chadâ€™s population lives below the poverty line. The population will continue to grow rapidly because of the countryâ€™s very high fertility rate and large youth cohort â€“ more than 65% of the populace is under the age of 25 â€“ although the mortality rate is high and life expectancy is low. Chad has the worldâ€™s third highest maternal mortality rate. Among the primary risk factors are poverty, anemia, rural habitation, high fertility, poor education, and a lack of access to family planning and obstetric care. Impoverished, uneducated adolescents living in rural areas are most affected. To improve womenâ€™s reproductive health and reduce fertility, Chad will need to increase womenâ€™s educational attainment, job participation, and knowledge of and access to family planning. Only about a quarter of women are literate, less than 5% use contraceptives, and more than 40% undergo genital cutting. |
| Demographic profile: | As of October 2017, more than 320,000 refugees from Sudan and more than 75,000 from the Central African Republic strain Chadâ€™s limited resources and create tensions in host communities. Thousands of new refugees fled to Chad in 2013 to escape worsening violence in the Darfur region of Sudan. The large refugee populations are hesitant to return to their home countries because of continued instability. Chad was relatively stable in 2012 in comparison to other states in the region, but past fighting between government forces and opposition groups and inter-communal violence have left nearly 60,000 of its citizens displaced in the eastern part of the country. |
| Age structure: | 0-14 years: 48.12% (male 3,856,001 /female 3,763,622) |
| Age structure: | 15-24 years: 19.27% (male 1,532,687 /female 1,518,940) |
| Age structure: | 25-54 years: 26.95% (male 2,044,795 /female 2,222,751) |
| Age structure: | 55-64 years: 3.25% (male 228,930 /female 286,379) |
| Age structure: | 65 years and over: 2.39% (male 164,257 /female 214,754) (2018 est.) |
| Dependency ratios: | total dependency ratio: 100.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 95.2 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 4.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 20.3 (2015 est.) |
| Median age: | total: 15.8 years |
| Median age: | male: 15.3 years |
| Median age: | female: 16.3 years (2018 est.) |
| Population growth rate: | 3.23% (2018 est.) |
| Birth rate: | 43 births/1,000 population (2018 est.) |
| Death rate: | 10.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | -3.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is unevenly distributed due to contrasts in climate and physical geography; the highest density is found in the southwest, particularly around Lake Chad and points south; the dry Saharan zone to the north is the least densely populated |
| Urbanization: | urban population: 23.1% of total population (2018) |
| Urbanization: | rate of urbanization: 3.88% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.323 million N'DJAMENA (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.95 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.83 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.79 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.71 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.93 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 17.9 years (2014/15 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 856 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 71.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 77.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 65.4 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 57.5 years (2018 est.) |
| Life expectancy at birth: | male: 55.7 years (2018 est.) |
| Life expectancy at birth: | female: 59.3 years (2018 est.) |
| Total fertility rate: | 5.9 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 5.7% (2014/15) |
| Health expenditures: | 3.6% of GDP (2014) |
| Physicians density: | 0.04 physicians/1,000 population (2013) |
| Drinking water source: | improved: urban: 71.8% of population |
| Drinking water source: | rural: 44.8% of population |
| Drinking water source: | total: 50.8% of population |
| Drinking water source: | unimproved: urban: 28.2% of population |
| Drinking water source: | rural: 55.2% of population |
| Drinking water source: | total: 49.2% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 31.4% of population (2015 est.) |
| Sanitation facility access: | rural: 6.5% of population (2015 est.) |
| Sanitation facility access: | total: 12.1% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 68.6% of population (2015 est.) |
| Sanitation facility access: | rural: 93.5% of population (2015 est.) |
| Sanitation facility access: | total: 87.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2017 est.) |
