| People and Society | CHAD |
| --- | --- |
| Population: | 12,075,985 (July 2017 est.) |
| Nationality: | noun: Chadian(s) |
| Nationality: | adjective: Chadian |
| Ethnic groups: | Sara (Ngambaye/Sara/Madjingaye/Mbaye) 29.9%, Kanembu/Bornu/Buduma 9.7%, Arab 9.6%, Wadai/Maba/Masalit/Mimi 7.5%, Gorane 5.8%, Masa/Musseye/Musgum 4.9%, Marba/Lele/Mesme 3.7%, Bulala/Medogo/Kuka 3.6%, Bidiyo/Migaama/Kenga/Dangleat 2.6%, Dadjo/Kibet/Muro 2.5%, Mundang 2.5%, Tupuri/Kera 2.1%, Gabri/Kabalaye/Nanchere/Somrai 2%, Fulani/Fulbe/Bodore 1.9%, Karo/Zime/Peve 1.3%, Zaghawa/Bideyat/Kobe 1.1%, Tama/Assongori/Mararit 1.1%, Baguirmi/Barma 1.1%, Mesmedje/Massalat/Kadjakse 0.8%, other Chadian ethnicities 3.2%, Chadians of foreign ethnicities 0.9%, foreign nationals 0.4%, unspecified 1.7% (2014-15 est.) |
| Languages: | French (official), Arabic (official), Sara (in south), more than 120 different languages and dialects |
| Religions: | Muslim 52.1%, Protestant 23.9%, Roman Catholic 20%, animist 0.3%, other Christian 0.2%, none 2.8%, unspecified 0.7% (2014-15 est.) |
| Demographic profile: | Despite the start of oil production in 2003, 40% of Chad’s population lives below the poverty line. The population will continue to grow rapidly because of the country’s very high fertility rate and large youth cohort – more than 65% of the populace is under the age of 25 – although the mortality rate is high and life expectancy is low. Chad has the world’s third highest maternal mortality rate. Among the primary risk factors are poverty, anemia, rural habitation, high fertility, poor education, and a lack of access to family planning and obstetric care. Impoverished, uneducated adolescents living in rural areas are most affected. To improve women’s reproductive health and reduce fertility, Chad will need to increase women’s educational attainment, job participation, and knowledge of and access to family planning. Only about a quarter of women are literate, less than 5% use contraceptives, and more than 40% undergo genital cutting. |
| Demographic profile: | As of October 2017, more than 320,000 refugees from Sudan and more than 75,000 from the Central African Republic strain Chad’s limited resources and create tensions in host communities. Thousands of new refugees fled to Chad in 2013 to escape worsening violence in the Darfur region of Sudan. The large refugee populations are hesitant to return to their home countries because of continued instability. Chad was relatively stable in 2012 in comparison to other states in the region, but past fighting between government forces and opposition groups and inter-communal violence have left nearly 60,000 of its citizens displaced in the eastern part of the country. |
| Age structure: | 0-14 years: 43.02% (male 2,634,817/female 2,560,790) |
| Age structure: | 15-24 years: 21.46% (male 1,267,944/female 1,324,115) |
| Age structure: | 25-54 years: 28.62% (male 1,574,782/female 1,881,183) |
| Age structure: | 55-64 years: 3.88% (male 206,627/female 261,586) |
| Age structure: | 65 years and over: 3.02% (male 150,364/female 213,777) (2017 est.) |
| Dependency ratios: | total dependency ratio: 100.2 |
| Dependency ratios: | youth dependency ratio: 95.2 |
| Dependency ratios: | elderly dependency ratio: 4.9 |
| Dependency ratios: | potential support ratio: 20.3 (2015 est.) |
| Median age: | total: 17.8 years |
| Median age: | male: 16.8 years |
| Median age: | female: 18.8 years (2017 est.) |
| Population growth rate: | 1.86% (2017 est.) |
| Birth rate: | 35.6 births/1,000 population (2017 est.) |
| Death rate: | 13.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | -3.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the population is unevenly distributed due to contrasts in climate and physical geography; the highest density is found in the southwest, particularly around Lake Chad and points south; the dry Saharan zone to the north is the least densely populated |
| Urbanization: | urban population: 22.8% of total population (2017) |
| Urbanization: | rate of urbanization: 3.7% annual rate of change (2015-20 est.) |
| Major urban areas - population: | N'DJAMENA (capital) 1.26 million (2015) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 0.95 male(s)/female |
| Sex ratio: | 25-54 years: 0.83 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 17.9 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2014/15 est.) |
| Maternal mortality rate: | 856 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 85.4 deaths/1,000 live births |
| Infant mortality rate: | male: 90.7 deaths/1,000 live births |
| Infant mortality rate: | female: 79.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 50.6 years |
| Life expectancy at birth: | male: 49.4 years |
| Life expectancy at birth: | female: 51.9 years (2017 est.) |
| Total fertility rate: | 4.34 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 5.7% (2014/15) |
| Health expenditures: | 3.6% of GDP (2014) |
| Physicians density: | 0.04 physicians/1,000 population (2013) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 71.8% of population |
| Drinking water source: | rural: 44.8% of population |
