| People and Society | Mauritius |
| --- | --- |
| Nationality: | noun: Mauritian(s) |
| Nationality: | adjective: Mauritian |
| Ethnic groups: | Indo-Mauritian 68%, Creole 27%, Sino-Mauritian 3%, Franco-Mauritian 2% |
| Languages: | Creole 86.5%, Bhojpuri 5.3%, French 4.1%, two languages 1.4%, other 2.6% (includes English, the official language, which is spoken by less than 1% of the population), unspecified 0.1% (2011 est.) |
| Religions: | Hindu 48.5%, Roman Catholic 26.3%, Muslim 17.3%, other Christian 6.4%, other 0.6%, none 0.7%, unspecified 0.1% (2011 est.) |
| Population: | 1,331,155 (July 2014 est.) |
| Age structure: | 0-14 years: 21% (male 143,064/female 137,021) |
| Age structure: | 15-24 years: 15.5% (male 104,257/female 102,233) |
| Age structure: | 25-54 years: 44.1% (male 293,607/female 294,029) |
| Age structure: | 55-64 years: 10.9% (male 68,749/female 76,407) |
| Age structure: | 65 years and over: 8% (male 45,145/female 66,643) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 39.8 % |
| population pyramid: | youth dependency ratio: 27.1 % |
| population pyramid: | elderly dependency ratio: 12.8 % |
| population pyramid: | potential support ratio: 7.8 (2014 est.) |
| Median age: | total: 33.9 years |
| Median age: | male: 33.1 years |
| Median age: | female: 34.8 years (2014 est.) |
| Population growth rate: | 0.66% (2014 est.) |
| Birth rate: | 13.46 births/1,000 population (2014 est.) |
| Death rate: | 6.85 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 41.8% of total population (2011) |
| Urbanization: | rate of urbanization: 0.57% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT LOUIS (capital) 151,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2014 est.) |
| Maternal mortality rate: | 60 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 10.59 deaths/1,000 live births |
| Infant mortality rate: | male: 12.59 deaths/1,000 live births |
| Infant mortality rate: | female: 8.5 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 75.17 years |
| Life expectancy at birth: | male: 71.71 years |
| Life expectancy at birth: | female: 78.81 years (2014 est.) |
| Total fertility rate: | 1.77 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 75.8% (2002) |
| Health expenditures: | 5.9% of GDP (2011) |
| Physicians density: | 1.06 physicians/1,000 population (2004) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.7% of population |
| Drinking water source: | total: 99.8% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.3% of population |
| unimproved: | total: 0.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 91.7% of population |
| Sanitation facility access: | rural: 90.1% of population |
| Sanitation facility access: | total: 90.8% of population |
| unimproved: | urban: 8.3% of population |
| unimproved: | rural: 9.9% of population |
| unimproved: | total: 9.2% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 10,500 (2012 est.) |
| HIV/AIDS - deaths: | 700 (2012 est.) |
| Obesity - adult prevalence rate: | 18.5% (2008) |
| Education expenditures: | 3.5% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.8% |
| Literacy: | male: 91.1% |
| Literacy: | female: 86.7% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2012) |
| Unemployment, youth ages 15-24: | total: 23.7% |
| Unemployment, youth ages 15-24: | male: 20.4% |
| Unemployment, youth ages 15-24: | female: 28.4% (2012) |
