| People and Society | Mauritius |
| --- | --- |
| Nationality: | noun: Mauritian(s) |
| Nationality: | adjective: Mauritian |
| Ethnic groups: | Indo-Mauritian 68%, Creole 27%, Sino-Mauritian 3%, Franco-Mauritian 2% |
| Languages: | Creole 80.5%, Bhojpuri 12.1%, French 3.4%, English (official; spoken by less than 1% of the population), other 3.7%, unspecified 0.3% (2000 census) |
| Religions: | Hindu 48%, Roman Catholic 23.6%, Muslim 16.6%, other Christian 8.6%, other 2.5%, unspecified 0.3%, none 0.4% (2000 census) |
| Population: | 1,303,717 (July 2011 est.) |
| Age structure: | 0-14 years: 21.8% (male 145,185/female 139,579) |
| Age structure: | 15-64 years: 70.7% (male 457,743/female 463,875) |
| Age structure: | 65 years and over: 7.5% (male 38,944/female 58,391) (2011 est.) |
| Median age: | total: 32.7 years |
| Median age: | male: 31.9 years |
| Median age: | female: 33.6 years (2011 est.) |
| Population growth rate: | 0.729% (2011 est.) |
| Birth rate: | 13.97 births/1,000 population (2011 est.) |
| Death rate: | 6.68 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 42% of total population (2010) |
| Urbanization: | rate of urbanization: 0.8% annual rate of change (2010-15 est.) |
| Major cities - population: | PORT LOUIS (capital) 149,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2011 est.) |
| Maternal mortality rate: | 36 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 11.52 deaths/1,000 live births |
| Infant mortality rate: | male: 13.7 deaths/1,000 live births |
| Infant mortality rate: | female: 9.23 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 74.48 years |
| Life expectancy at birth: | male: 71.01 years |
| Life expectancy at birth: | female: 78.12 years (2011 est.) |
| Total fertility rate: | 1.79 children born/woman (2011 est.) |
| Health expenditures: | 6.5% of GDP (2009) |
| Physicians density: | 1.06 physicians/1,000 population (2004) |
| Hospital bed density: | 3.33 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 90% of population |
| Sanitation facility access: | total: 91% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 10% of population |
| unimproved: | total: 9% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Education expenditures: | 3.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84.4% |
| Literacy: | male: 88.4% |
| Literacy: | female: 80.5% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2008) |
| Unemployment, youth ages 15-24: | total: 21.4% |
| Unemployment, youth ages 15-24: | male: 18.1% |
| Unemployment, youth ages 15-24: | female: 26.3% (2009) |
