| People and Society | Kuwait |
| --- | --- |
| Nationality: | noun: Kuwaiti(s) |
| Nationality: | adjective: Kuwaiti |
| Ethnic groups: | Kuwaiti 31.3%, other Arab 27.9%, Asian 37.8%, African 1.9%, other 1.1% (includes European, North American, South American, and Australian) (2013 est.) |
| Languages: | Arabic (official), English widely spoken |
| Religions: | Muslim (official) 76.7%, Christian 17.3%, other and unspecified 5.9% |
| Religions: | note: represents the total population; about 69% of the population consists of immigrants (2013 est.) |
| Population: | 2,742,711 |
| Population: | note: Kuwait's Public Authority for Civil Information estimates the country's total population to be 3,996,899 for 2014, with immigrants accounting for almost 69% (July 2014 est.) |
| Age structure: | 0-14 years: 25.4% (male 363,001/female 334,851) |
| Age structure: | 15-24 years: 15.3% (male 230,628/female 188,892) |
| Age structure: | 25-54 years: 52.3% (male 910,832/female 524,690) |
| Age structure: | 55-64 years: 4.7% (male 73,816/female 54,678) |
| Age structure: | 65 years and over: 2.1% (male 29,312/female 32,011) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 37.1 % |
| population pyramid: | youth dependency ratio: 33.8 % |
| population pyramid: | elderly dependency ratio: 3.3 % |
| population pyramid: | potential support ratio: 30.4 (2014 est.) |
| Median age: | total: 28.9 years |
| Median age: | male: 30.1 years |
| Median age: | female: 26.8 years (2014 est.) |
| Population growth rate: | 1.7% |
| Population growth rate: | note: this rate reflects a return to pre-Gulf crisis immigration of expatriates (2014 est.) |
| Birth rate: | 20.26 births/1,000 population (2014 est.) |
| Death rate: | 2.16 deaths/1,000 population (2014 est.) |
| Net migration rate: | -1.11 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 98.3% of total population (2011) |
| Urbanization: | rate of urbanization: 2.42% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KUWAIT (capital) 2.406 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 1.22 male(s)/female |
| Sex ratio: | 25-54 years: 1.74 male(s)/female |
| Sex ratio: | 55-64 years: 1.42 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 1.43 male(s)/female (2014 est.) |
| Maternal mortality rate: | 14 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 7.51 deaths/1,000 live births |
| Infant mortality rate: | male: 7.26 deaths/1,000 live births |
| Infant mortality rate: | female: 7.76 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 77.64 years |
| Life expectancy at birth: | male: 76.37 years |
| Life expectancy at birth: | female: 78.96 years (2014 est.) |
| Total fertility rate: | 2.53 children born/woman (2014 est.) |
| Health expenditures: | 2.7% of GDP (2011) |
| Physicians density: | 1.79 physicians/1,000 population (2009) |
| Hospital bed density: | 2 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | 0% of population |
| Sanitation facility access: | 0% of population |
| Sanitation facility access: | 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 42% (2008) |
| Children under the age of 5 years underweight: | 2.2% (2012) |
| Education expenditures: | 3.8% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.9% |
| Literacy: | male: 95% |
| Literacy: | female: 91.8% (2008 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2004) |
| Unemployment, youth ages 15-24: | total: 11.3% |
| Unemployment, youth ages 15-24: | male: 11.8% |
| Unemployment, youth ages 15-24: | female: 10% (2005) |
