| People and Society | Kuwait |
| --- | --- |
| Population: | 2,916,467 (July 2017 est.) (July 2018 est.) |
| Population: | note: Kuwait's Public Authority for Civil Information estimates the country's total population to be 4,437,590 for 2017, with immigrants accounting for more than 69.5% |
| Nationality: | noun: Kuwaiti(s) |
| Nationality: | adjective: Kuwaiti |
| Ethnic groups: | Kuwaiti 30.4%, other Arab 27.4%, Asian 40.3%, African 1%, other .9% (includes European, North American, South American, and Australian) (2018 est.) |
| Languages: | Arabic (official), English widely spoken |
| Religions: | Muslim (official) 74.6%, Christian 18.2%, other and unspecified 7.2% (2013 est.) |
| Religions: | note: data represent the total population; about 69% of the population consists of immigrants |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 24.81% (male 376,652 /female 347,019) |
| Age structure: | 15-24 years: 15.04% (male 240,638 /female 197,946) |
| Age structure: | 25-54 years: 52.3% (male 961,205 /female 563,979) |
| Age structure: | 55-64 years: 5.2% (male 85,146 /female 66,373) |
| Age structure: | 65 years and over: 2.66% (male 35,117 /female 42,392) (2018 est.) |
| Dependency ratios: | total dependency ratio: 29.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 27.1 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 2.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 37.3 (2015 est.) |
| Median age: | total: 29.4 years (2018 est.) |
| Median age: | male: 30.5 years |
| Median age: | female: 27.6 years |
| Population growth rate: | 1.38% (2018 est.) |
| Birth rate: | 18.8 births/1,000 population (2018 est.) |
| Death rate: | 2.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -2.8 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | densest settlement is along the Persian Gulf, particularly in Kuwait City and on Bubiyan Island; significant population threads extend south and west along highways that radiate from the capital, particularly in the southern half of the country |
| Urbanization: | urban population: 100% of total population (2019) |
| Urbanization: | rate of urbanization: 1.78% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.052 million KUWAIT (capital) (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.09 male(s)/female |
| Sex ratio: | 15-24 years: 1.22 male(s)/female |
| Sex ratio: | 25-54 years: 1.7 male(s)/female |
| Sex ratio: | 55-64 years: 1.28 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1.4 male(s)/female (2018 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 6.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 6.6 deaths/1,000 live births |
| Infant mortality rate: | female: 7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 78.3 years (2018 est.) |
| Life expectancy at birth: | male: 76.9 years |
| Life expectancy at birth: | female: 79.8 years |
| Total fertility rate: | 2.35 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| Drinking water source: | unimproved: urban: 1% of population |
| Drinking water source: | rural: 1% of population |
| Drinking water source: | total: 1% of population (2015 est.) |
| Current Health Expenditure: | 3.9% (2016) |
| Physicians density: | 2.58 physicians/1,000 population (2015) |
| Hospital bed density: | 2 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 37.9% (2016) |
| Children under the age of 5 years underweight: | 3% (2014) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96% |
| Literacy: | male: 96.7% |
| Literacy: | female: 94.8% (2017) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Unemployment, youth ages 15-24: | total: 15.4% |
| Unemployment, youth ages 15-24: | male: 9.4% N/A |
| Unemployment, youth ages 15-24: | female: 30% N/A (2016 est.) |
