| People and Society | Germany |
| --- | --- |
| Population: | 80,457,737 (July 2018 est.) |
| Nationality: | noun: German(s) |
| Nationality: | adjective: German |
| Ethnic groups: | German 91.5%, Turkish 2.4%, other 6.1% (made up largely of Polish, Italian, Romanian, Syrian, and Greek) |
| Languages: | German (official) |
| Languages: | note: Danish, Frisian, Sorbian, and Romani are official minority languages; Low German, Danish, North Frisian, Sater Frisian, Lower Sorbian, Upper Sorbian, and Romani are recognized as regional languages under the European Charter for Regional or Minority Languages |
| Religions: | Roman Catholic 29%, Protestant 27%, Muslim 4.4%, Orthodox Christian 1.9%, other 1.7%, none or members of unrecorded religious groups 36% (2015 est.) |
| Age structure: | 0-14 years: 12.83% (male 5,299,798 /female 5,024,184) |
| Age structure: | 15-24 years: 9.98% (male 4,092,901 /female 3,933,997) |
| Age structure: | 25-54 years: 39.87% (male 16,181,931 /female 15,896,528) |
| Age structure: | 55-64 years: 14.96% (male 5,989,111 /female 6,047,449) |
| Age structure: | 65 years and over: 22.36% (male 7,930,590 /female 10,061,248) (2018 est.) |
| Dependency ratios: | total dependency ratio: 52.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 19.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 32.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.1 (2015 est.) |
| Median age: | total: 47.4 years |
| Median age: | male: 46.2 years |
| Median age: | female: 48.5 years (2018 est.) |
| Population growth rate: | -0.17% (2018 est.) |
| Birth rate: | 8.6 births/1,000 population (2018 est.) |
| Death rate: | 11.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | 1.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most populous country in Europe; a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations, particularly in the far western part of the industrial state of North Rhine-Westphalia |
| Urbanization: | urban population: 77.3% of total population (2018) |
| Urbanization: | rate of urbanization: 0.27% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.563 million BERLIN (capital), 1.793 million Hamburg, 1.504 million Munich, 1.096 million Cologne (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.78 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.97 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 29.4 years (2015 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 80.9 years (2018 est.) |
| Life expectancy at birth: | male: 78.6 years (2018 est.) |
| Life expectancy at birth: | female: 83.4 years (2018 est.) |
| Total fertility rate: | 1.46 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 68.7% (2011) |
| Contraceptive prevalence rate: | note: percent of women aged 18-49 |
| Health expenditures: | 11.3% of GDP (2014) |
| Physicians density: | 4.19 physicians/1,000 population (2015) |
| Hospital bed density: | 8.3 beds/1,000 population (2013) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 99.3% of population (2015 est.) |
| Sanitation facility access: | rural: 99% of population (2015 est.) |
| Sanitation facility access: | total: 99.2% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.7% of population (2015 est.) |
| Sanitation facility access: | rural: 1% of population (2015 est.) |
| Sanitation facility access: | total: 0.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 91,000 (2017 est.) |
| HIV/AIDS - deaths: | <500 (2017 est.) |
| Obesity - adult prevalence rate: | 22.3% (2016) |
| Education expenditures: | 4.9% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 17 years (2015) |
| School life expectancy (primary to tertiary education): | male: 17 years (2015) |
| School life expectancy (primary to tertiary education): | female: 17 years (2015) |
| Unemployment, youth ages 15-24: | total: 7.1% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 7.8% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 6.1% (2016 est.) |
