| People and Society | Ghana |
| --- | --- |
| Nationality: | noun: Ghanaian(s) |
| Nationality: | adjective: Ghanaian |
| Ethnic groups: | Akan 47.5%, Mole-Dagbon 16.6%, Ewe 13.9%, Ga-Dangme 7.4%, Gurma 5.7%, Guan 3.7%, Grusi 2.5%, Mande-Busanga 1.1%, other 1.6% (2010 census) |
| Languages: | Asante 14.8%, Ewe 12.7%, Fante 9.9%, Boron (Brong) 4.6%, Dagomba 4.3%, Dangme 4.3%, Dagarte (Dagaba) 3.7%, Akyem 3.4%, Ga 3.4%, Akuapem 2.9%, other (includes English (official)) 36.1% (2000 census) |
| Religions: | Christian 71.2% (Pentecostal/Charismatic 28.3%, Protestant 18.4%, Catholic 13.1%, other 11.4%), Muslim 17.6%, traditional 5.2%, other 0.8%, none 5.2% (2010 census) |
| Population: | 25,199,609 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 38.7% (male 4,902,094/female 4,858,630) |
| Age structure: | 15-24 years: 18.8% (male 2,360,293/female 2,382,573) |
| Age structure: | 25-54 years: 33.7% (male 4,120,921/female 4,363,889) |
| Age structure: | 55-64 years: 4.7% (male 577,431/female 610,716) |
| Age structure: | 65 years and over: 4.1% (male 476,297/female 546,765) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 72.2 % |
| population pyramid: | youth dependency ratio: 66.2 % |
| population pyramid: | elderly dependency ratio: 6 % |
| population pyramid: | potential support ratio: 16.7 (2013) |
| Median age: | total: 20.7 years |
| Median age: | male: 20.3 years |
| Median age: | female: 21.2 years (2013 est.) |
| Population growth rate: | 2.19% (2013 est.) |
| Birth rate: | 31.7 births/1,000 population (2013 est.) |
| Death rate: | 7.53 deaths/1,000 population (2013 est.) |
| Net migration rate: | -2.23 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 51.9% of total population (2011) |
| Urbanization: | rate of urbanization: 3.5% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ACCRA (capital) 2.269 million; Kumasi 1.773 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 21.8 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2008 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 39.7 deaths/1,000 live births |
| Infant mortality rate: | male: 43.8 deaths/1,000 live births |
| Infant mortality rate: | female: 35.48 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 65.32 years |
| Life expectancy at birth: | male: 62.99 years |
| Life expectancy at birth: | female: 67.71 years (2013 est.) |
| Total fertility rate: | 4.12 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 23.5% (2008) |
| Health expenditures: | 4.8% of GDP (2011) |
| Physicians density: | 0.09 physicians/1,000 population (2009) |
| Hospital bed density: | 0.9 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 80% of population |
| Drinking water source: | total: 86% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 20% of population |
| unimproved: | total: 14% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 19% of population |
| Sanitation facility access: | rural: 8% of population |
| Sanitation facility access: | total: 14% of population |
| unimproved: | urban: 81% of population |
| unimproved: | rural: 92% of population |
| unimproved: | total: 86% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 260,000 (2009 est.) |
| HIV/AIDS - deaths: | 18,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| note: | highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds |
| note: | (2013) |
| Obesity - adult prevalence rate: | 7.5% (2008) |
| Children under the age of 5 years underweight: | 14.3% (2008) |
| Education expenditures: | 8.2% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 71.5% |
| Literacy: | male: 78.3% |
| Literacy: | female: 65.3% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2012) |
| Child labor - children ages 5-14: | total number: 1,806,750 |
| Child labor - children ages 5-14: | percentage: 34 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 16.6% |
| Unemployment, youth ages 15-24: | male: 16.4% |
| Unemployment, youth ages 15-24: | female: 16.7% (2000) |
