| People and Society | Uruguay |
| --- | --- |
| Population: | 3,369,299 (July 2018 est.) |
| Nationality: | noun: Uruguayan(s) |
| Nationality: | adjective: Uruguayan |
| Ethnic groups: | white 87.7%, black 4.6%, indigenous 2.4%, other 0.3%, none or unspecified 5% (2011 est.) |
| Ethnic groups: | note: data represent primary ethnic identity |
| Languages: | Spanish (official) |
| Religions: | Roman Catholic 47.1%, non-Catholic Christians 11.1%, nondenominational 23.2%, Jewish 0.3%, atheist or agnostic 17.2%, other 1.1% (2006 est.) |
| Demographic profile: | Uruguay rates high for most development indicators and is known for its secularism, liberal social laws, and well-developed social security, health, and educational systems. It is one of the few countries in Latin America and the Caribbean where the entire population has access to clean water. Uruguay's provision of free primary through university education has contributed to the country's high levels of literacy and educational attainment. However, the emigration of human capital has diminished the state's return on its investment in education. Remittances from the roughly 18% of Uruguayans abroad amount to less than 1 percent of national GDP. The emigration of young adults and a low birth rate are causing Uruguay's population to age rapidly. |
| Demographic profile: | In the 1960s, Uruguayans for the first time emigrated en masse - primarily to Argentina and Brazil - because of economic decline and the onset of more than a decade of military dictatorship. Economic crises in the early 1980s and 2002 also triggered waves of emigration, but since 2002 more than 70% of Uruguayan emigrants have selected the US and Spain as destinations because of better job prospects. Uruguay had a tiny population upon its independence in 1828 and welcomed thousands of predominantly Italian and Spanish immigrants, but the country has not experienced large influxes of new arrivals since the aftermath of World War II. More recent immigrants include Peruvians and Arabs. |
| Age structure: | 0-14 years: 19.91% (male 341,402 /female 329,474) |
| Age structure: | 15-24 years: 15.56% (male 265,486 /female 258,611) |
| Age structure: | 25-54 years: 39.48% (male 658,871 /female 671,172) |
| Age structure: | 55-64 years: 10.68% (male 169,385 /female 190,392) |
| Age structure: | 65 years and over: 14.38% (male 194,269 /female 290,237) (2018 est.) |
| Dependency ratios: | total dependency ratio: 55.9 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 33.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 22.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.4 (2015 est.) |
| Median age: | total: 35.1 years |
| Median age: | male: 33.3 years |
| Median age: | female: 36.9 years (2018 est.) |
| Population growth rate: | 0.27% (2018 est.) |
| Birth rate: | 13 births/1,000 population (2018 est.) |
| Death rate: | 9.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the country's population resides in the southern half of the country; approximately 80% of the populace is urban, living in towns or cities; nearly half of the population lives in and around the capital of Montevideo |
| Urbanization: | urban population: 95.3% of total population (2018) |
| Urbanization: | rate of urbanization: 0.46% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.737 million MONTEVIDEO (capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.98 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.89 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.66 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.94 male(s)/female (2017 est.) |
| Maternal mortality rate: | 15 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 7.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 77.6 years (2018 est.) |
| Life expectancy at birth: | male: 74.4 years (2018 est.) |
| Life expectancy at birth: | female: 80.8 years (2018 est.) |
| Total fertility rate: | 1.79 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 79.6% (2015) |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 |
| Health expenditures: | 8.6% of GDP (2014) |
| Physicians density: | 3.94 physicians/1,000 population (2008) |
| Hospital bed density: | 2.8 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 93.9% of population |
| Drinking water source: | total: 99.7% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 6.1% of population |
| Drinking water source: | total: 0.3% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 96.6% of population (2015 est.) |
| Sanitation facility access: | rural: 92.6% of population (2015 est.) |
| Sanitation facility access: | total: 96.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 3.4% of population (2015 est.) |
| Sanitation facility access: | rural: 7.4% of population (2015 est.) |
| Sanitation facility access: | total: 3.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2017 est.) |
| HIV/AIDS - deaths: | <500 (2017 est.) |
| Obesity - adult prevalence rate: | 27.9% (2016) |
