| People and Society | Vietnam |
| --- | --- |
| Population: | 98,721,275 (July 2020 est.) |
| Nationality: | noun: Vietnamese (singular and plural) |
| Nationality: | adjective: Vietnamese |
| Ethnic groups: | Kinh (Viet) 85.7%, Tay 1.9%, Thai 1.8%, Muong 1.5%, Khmer 1.5%, Mong 1.2%, Nung 1.1%, Hoa 1%, other 4.3% (2009 est.) |
| Ethnic groups: | note: 54 ethnic groups are recognized by the Vietnamese Government |
| Languages: | Vietnamese (official), English (increasingly favored as a second language), some French, Chinese, and Khmer, mountain area languages (Mon-Khmer and Malayo-Polynesian) |
| Religions: | Buddhist 7.9%, Catholic 6.6%, Hoa Hao 1.7%, Cao Dai 0.9%, Protestant 0.9%, Muslim 0.1%, none 81.8% (2009 est.) |
| Age structure: | 0-14 years: 22.61% (male 11,733,704/female 10,590,078) |
| Age structure: | 15-24 years: 15.22% (male 7,825,859/female 7,202,716) |
| Age structure: | 25-54 years: 45.7% (male 22,852,429/female 22,262,566) |
| Age structure: | 55-64 years: 9.55% (male 4,412,111/female 5,016,880) |
| Age structure: | 65 years and over: 6.91% (male 2,702,963/female 4,121,969) (2020 est.) |
| Dependency ratios: | total dependency ratio: 45.1 |
| Dependency ratios: | youth dependency ratio: 33.6 |
| Dependency ratios: | elderly dependency ratio: 11.4 |
| Dependency ratios: | potential support ratio: 8.8 (2020 est.) |
| Median age: | total: 31.9 years |
| Median age: | male: 30.8 years |
| Median age: | female: 33 years (2020 est.) |
| Population growth rate: | 0.84% (2020 est.) |
| Birth rate: | 14.5 births/1,000 population (2020 est.) |
| Death rate: | 6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | though it has one of the highest population densities in the world, the population is not evenly dispersed; clustering is heaviest along the South China Sea and Gulf of Tonkin, with the Mekong Delta (in the south) and the Red River Valley (in the north) having the largest concentrations of people |
| Urbanization: | urban population: 37.3% of total population (2020) |
| Urbanization: | rate of urbanization: 2.98% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 8.602 million Ho Chi Minh City, 4.678 million HANOI (capital), 1.618 million Can Tho, 1.300 million Hai Phong, 1.125 millionÂ Da Nang, 1.013 million Bien Hoa (2020) |
| Sex ratio: | at birth: 1.09 male(s)/female |
| Sex ratio: | 0-14 years: 1.11 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2020 est.) |
| Maternal mortality rate: | 43 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 15.7 deaths/1,000 live births |
| Infant mortality rate: | male: 16 deaths/1,000 live births |
| Infant mortality rate: | female: 15.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 74.4 years |
| Life expectancy at birth: | male: 71.9 years |
| Life expectancy at birth: | female: 77.1 years (2020 est.) |
| Total fertility rate: | 1.77 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 77.5% (2016) |
| Drinking water source: | improved: urban: 98.6% of population |
| Drinking water source: | rural: 92.6% of population |
| Drinking water source: | total: 94.7% of population |
| Drinking water source: | unimproved: urban: 1.4% of population |
| Drinking water source: | rural: 7.4% of population |
| Drinking water source: | total: 5.3% of population (2017 est.) |
| Current Health Expenditure: | 5.5% (2017) |
| Physicians density: | 0.83 physicians/1,000 population (2016) |
| Hospital bed density: | 2.6 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 96.9% of population |
| Sanitation facility access: | rural: 82.1% of population |
| Sanitation facility access: | total: 87.3% of population |
| Sanitation facility access: | unimproved: urban: 3.1% of population |
| Sanitation facility access: | rural: 17.9% of population |
| Sanitation facility access: | total: 12.7% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 230,000 (2019 est.) |
| HIV/AIDS - deaths: | 5,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis |
| Obesity - adult prevalence rate: | 2.1% (2016) |
| Children under the age of 5 years underweight: | 13.4% (2017) |
| Education expenditures: | 4.2% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95% |
| Literacy: | male: 96.5% |
| Literacy: | female: 93.6% (2018) |
| Unemployment, youth ages 15-24: | total: 6.9% |
| Unemployment, youth ages 15-24: | male: 6% |
| Unemployment, youth ages 15-24: | female: 7.9% (2018 est.) |
