| People and Society | EQUATORIAL GUINEA |
| --- | --- |
| Nationality: | noun: Equatorial Guinean(s) or Equatoguinean(s) |
| Nationality: | adjective: Equatorial Guinean or Equatoguinean |
| Ethnic groups: | Fang 85.7%, Bubi 6.5%, Mdowe 3.6%, Annobon 1.6%, Bujeba 1.1%, other 1.4% (1994 census) |
| Languages: | Spanish (official) 67.6%, other (includes French (official), Fang, Bubi) 32.4% (1994 census) |
| Religions: | nominally Christian and predominantly Roman Catholic, pagan practices |
| Population: | 740,743 (July 2015 est.) |
| Age structure: | 0-14 years: 40.47% (male 152,305/female 147,454) |
| Age structure: | 15-24 years: 19.55% (male 73,728/female 71,086) |
| Age structure: | 25-54 years: 31.74% (male 116,937/female 118,148) |
| Age structure: | 55-64 years: 4.24% (male 13,519/female 17,884) |
| Age structure: | 65 years and over: 4.01% (male 12,462/female 17,220) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 72.9% |
| population pyramid: | youth dependency ratio: 67.9% |
| population pyramid: | elderly dependency ratio: 5% |
| population pyramid: | potential support ratio: 20% (2015 est.) |
| Median age: | total: 19.5 years |
| Median age: | male: 19 years |
| Median age: | female: 20 years (2015 est.) |
| Population growth rate: | 2.51% (2015 est.) |
| Birth rate: | 33.31 births/1,000 population (2015 est.) |
| Death rate: | 8.19 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 39.9% of total population (2015) |
| Urbanization: | rate of urbanization: 3.12% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MALABO (capital) 145,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.76 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Maternal mortality rate: | 342 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 69.17 deaths/1,000 live births |
| Infant mortality rate: | male: 70.21 deaths/1,000 live births |
| Infant mortality rate: | female: 68.09 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 63.85 years |
| Life expectancy at birth: | male: 62.76 years |
| Life expectancy at birth: | female: 64.97 years (2015 est.) |
| Total fertility rate: | 4.57 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 12.6% (2011) |
| Health expenditures: | 3.5% of GDP (2013) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 72.5% of population |
| Drinking water source: | rural: 31.5% of population |
| Drinking water source: | total: 47.9% of population |
| unimproved: | urban: 27.5% of population |
| unimproved: | rural: 68.5% of population |
| unimproved: | total: 52.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 79.9% of population |
| Sanitation facility access: | rural: 71% of population |
| Sanitation facility access: | total: 74.5% of population |
| unimproved: | urban: 20.1% of population |
| unimproved: | rural: 29% of population |
| unimproved: | total: 25.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 6.16% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 31,600 (2014 est.) |
| HIV/AIDS - deaths: | 800 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and dengue fever |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 16.2% (2014) |
| Children under the age of 5 years underweight: | 5.6% (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95.3% |
| Literacy: | male: 97.4% |
| Literacy: | female: 93% (2015 est.) |
| Child labor - children ages 5-14: | total number: 35,382 |
| Child labor - children ages 5-14: | percentage: 28% (2000 est.) |
