| People and Society | Kenya |
| --- | --- |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Religions: | Protestant 45%, Roman Catholic 33%, Muslim 10%, indigenous beliefs 10%, other 2% |
| Religions: | note: a large majority of Kenyans are Christian, but estimates for the percentage of the population that adheres to Islam or indigenous beliefs vary widely |
| Population: | 41,070,934 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 42.2% (male 8,730,845/female 8,603,270) |
| Age structure: | 15-64 years: 55.1% (male 11,373,997/female 11,260,402) |
| Age structure: | 65 years and over: 2.7% (male 497,389/female 605,031) (2011 est.) |
| Median age: | total: 18.9 years |
| Median age: | male: 18.8 years |
| Median age: | female: 19 years (2011 est.) |
| Population growth rate: | 2.462% (2011 est.) |
| Birth rate: | 33.54 births/1,000 population (2011 est.) |
| Death rate: | 8.93 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 22% of total population (2010) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2010-15 est.) |
| Major cities - population: | NAIROBI (capital) 3.375 million; Mombassa 966,000 (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 530 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 52.29 deaths/1,000 live births |
| Infant mortality rate: | male: 55.03 deaths/1,000 live births |
| Infant mortality rate: | female: 49.49 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 59.48 years |
| Life expectancy at birth: | male: 58.91 years |
| Life expectancy at birth: | female: 60.07 years (2011 est.) |
| Total fertility rate: | 4.19 children born/woman (2011 est.) |
| Health expenditures: | 12.2% of GDP (2009) |
| Physicians density: | 0.14 physicians/1,000 population (2002) |
| Hospital bed density: | 1.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 83% of population |
| Drinking water source: | rural: 52% of population |
| Drinking water source: | total: 59% of population |
| unimproved: | urban: 17% of population |
| unimproved: | rural: 48% of population |
| unimproved: | total: 41% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 27% of population |
| Sanitation facility access: | rural: 32% of population |
| Sanitation facility access: | total: 31% of population |
| unimproved: | urban: 73% of population |
| unimproved: | rural: 68% of population |
| unimproved: | total: 69% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 6.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.5 million (2009 est.) |
| HIV/AIDS - deaths: | 80,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 16.5% (2003) |
| Education expenditures: | 7% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.1% |
| Literacy: | male: 90.6% |
| Literacy: | female: 79.7% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
