| People and Society | KENYA |
| --- | --- |
| Population: | 46,790,758 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2016 est.) |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Religions: | Christian 83% (Protestant 47.7%, Catholic 23.4%, other Christian 11.9%), Muslim 11.2%, Traditionalists 1.7%, other 1.6%, none 2.4%, unspecified 0.2% (2009 est.) |
| Demographic profile: | Kenya has experienced dramatic population growth since the mid-20th century as a result of its high birth rate and its declining mortality rate. More than 40% of Kenyans are under the age of 15 because of sustained high fertility, early marriage and childbearing, and an unmet need for family planning. Kenya’s persistent rapid population growth strains the labor market, social services, arable land, and natural resources. Although Kenya in 1967 was the first sub-Saharan country to launch a nationwide family planning program, progress in reducing the birth rate has largely stalled since the late 1990s, when the government decreased its support for family planning to focus on the HIV epidemic. Government commitment and international technical support spurred Kenyan contraceptive use, decreasing the fertility rate (children per woman) from about 8 in the late 1970s to less than 5 children twenty years later, but it has plateaued at just over 3 children today. |
| Demographic profile: | Kenya is a source of emigrants and a host country for refugees. In the 1960s and 1970s, Kenyans pursued higher education in the UK because of colonial ties, but as British immigration rules tightened, the US, the then Soviet Union, and Canada became attractive study destinations. Kenya’s stagnant economy and political problems during the 1980s and 1990s led to an outpouring of Kenyan students and professionals seeking permanent opportunities in the West and southern Africa. Nevertheless, Kenya’s relative stability since its independence in 1963 has attracted hundreds of thousands of refugees escaping violent conflicts in neighboring countries; Kenya presently shelters nearly 400,000 Somali refugees. |
| Age structure: | 0-14 years: 40.87% (male 9,592,017/female 9,532,032) |
| Age structure: | 15-24 years: 18.83% (male 4,398,554/female 4,411,586) |
| Age structure: | 25-54 years: 33.54% (male 7,938,111/female 7,755,128) |
| Age structure: | 55-64 years: 3.84% (male 819,665/female 976,862) |
| Age structure: | 65 years and over: 2.92% (male 590,961/female 775,842) (2016 est.) |
| Dependency ratios: | total dependency ratio: 80.9% |
| Dependency ratios: | youth dependency ratio: 75.8% |
| Dependency ratios: | elderly dependency ratio: 5.1% |
| Dependency ratios: | potential support ratio: 19.7% (2015 est.) |
| Median age: | total: 19.5 years |
| Median age: | male: 19.4 years |
| Median age: | female: 19.6 years (2016 est.) |
| Population growth rate: | 1.81% (2016 est.) |
| Birth rate: | 25.1 births/1,000 population (2016 est.) |
| Death rate: | 6.8 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 25.6% of total population (2015) |
| Urbanization: | rate of urbanization: 4.34% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NAIROBI (capital) 3.915 million; Mombassa 1.104 million (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
