| People | Kenya |
| --- | --- |
| Population: | 31,639,091 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2003 est.) |
| Age structure: | 0-14 years: 41.3% (male 6,609,904; female 6,461,945) |
| Age structure: | 15-64 years: 55.8% (male 8,900,615; female 8,766,698) |
| Age structure: | 65 years and over: 2.9% (male 389,918; female 510,011) (2003 est.) |
| Median age: | total: 18.4 years |
| Median age: | female: 18.5 years (2002) |
| Median age: | male: 18.2 years |
| Population growth rate: | 1.27% (2003 est.) |
| Birth rate: | 28.81 births/1,000 population (2003 est.) |
| Death rate: | 16.01 deaths/1,000 population (2003 est.) |
| Net migration rate: | -0.15 migrant(s)/1,000 population |
| Net migration rate: | note: according to UNHCR, by the end of 2001 Kenya was host to 220,000 refugees from neighboring countries, including: Somalia 145,000 and Sudan 68,000 (2003 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2003 est.) |
| Infant mortality rate: | total: 63.36 deaths/1,000 live births |
| Infant mortality rate: | female: 60.25 deaths/1,000 live births (2003 est.) |
| Infant mortality rate: | male: 66.37 deaths/1,000 live births |
| Life expectancy at birth: | total population: 45.22 years |
| Life expectancy at birth: | male: 45.02 years |
| Life expectancy at birth: | female: 45.43 years (2003 est.) |
| Total fertility rate: | 3.47 children born/woman (2003 est.) |
| HIV/AIDS - adult prevalence rate: | 15% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2.5 million (2001 est.) |
| HIV/AIDS - deaths: | 190,000 (2001 est.) |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Religions: | Protestant 45%, Roman Catholic 33%, indigenous beliefs 10%, Muslim 10%, other 2% |
| Religions: | note: a large majority of Kenyans are Christian, but estimates for the percentage of the population that adheres to Islam or indigenous beliefs vary widely |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.1% |
| Literacy: | male: 90.6% |
| Literacy: | female: 79.7% (2003 est.) |
