| People | Kenya |
| --- | --- |
| Population: | 33,829,590 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 42.5% (male 7,252,075/female 7,124,034) |
| Age structure: | 15-64 years: 55.2% (male 9,378,428/female 9,295,471) |
| Age structure: | 65 years and over: 2.3% (male 356,116/female 423,466) (2005 est.) |
| Median age: | total: 18.19 years |
| Median age: | male: 18.08 years |
| Median age: | female: 18.3 years (2005 est.) |
| Population growth rate: | 2.56% (2005 est.) |
| Birth rate: | 40.13 births/1,000 population (2005 est.) |
| Death rate: | 14.65 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0.08 migrant(s)/1,000 population |
| Net migration rate: | note: according to UNHCR, by the end of 2001 Kenya was host to 220,000 refugees from neighboring countries, including: Somalia 145,000 and Sudan 68,000 (2005 est.) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 61.47 deaths/1,000 live births |
| Infant mortality rate: | male: 64.26 deaths/1,000 live births |
| Infant mortality rate: | female: 58.62 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 47.99 years |
| Life expectancy at birth: | male: 48.87 years |
| Life expectancy at birth: | female: 47.09 years (2005 est.) |
| Total fertility rate: | 4.96 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 6.7% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.2 million (2003 est.) |
| HIV/AIDS - deaths: | 150,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria is a high risk in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis (2004) |
| Nationality: | noun: Kenyan(s) |
| Nationality: | adjective: Kenyan |
| Ethnic groups: | Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1% |
| Religions: | Protestant 45%, Roman Catholic 33%, indigenous beliefs 10%, Muslim 10%, other 2% |
| Religions: | note: a large majority of Kenyans are Christian, but estimates for the percentage of the population that adheres to Islam or indigenous beliefs vary widely |
| Languages: | English (official), Kiswahili (official), numerous indigenous languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 85.1% |
| Literacy: | male: 90.6% |
| Literacy: | female: 79.7% (2003 est.) |
