| People and Society | NIGERIA |
| --- | --- |
| Population: | 190,632,261 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the most populous and politically influential are: Hausa and the Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Demographic profile: | Nigeria’s population is projected to grow from more than 186 million people in 2016 to 392 million in 2050, becoming the world’s fourth most populous country. Nigeria’s sustained high population growth rate will continue for the foreseeable future because of population momentum and its high birth rate. Abuja has not successfully implemented family planning programs to reduce and space births because of a lack of political will, government financing, and the availability and affordability of services and products, as well as a cultural preference for large families. Increased educational attainment, especially among women, and improvements in health care are needed to encourage and to better enable parents to opt for smaller families. |
| Demographic profile: | Nigeria needs to harness the potential of its burgeoning youth population in order to boost economic development, reduce widespread poverty, and channel large numbers of unemployed youth into productive activities and away from ongoing religious and ethnic violence. While most movement of Nigerians is internal, significant emigration regionally and to the West provides an outlet for Nigerians looking for economic opportunities, seeking asylum, and increasingly pursuing higher education. Immigration largely of West Africans continues to be insufficient to offset emigration and the loss of highly skilled workers. Nigeria also is a major source, transit, and destination country for forced labor and sex trafficking. |
| Age structure: | 0-14 years: 42.54% (male 41,506,288/female 39,595,720) |
| Age structure: | 15-24 years: 19.61% (male 19,094,899/female 18,289,513) |
| Age structure: | 25-54 years: 30.74% (male 30,066,196/female 28,537,846) |
| Age structure: | 55-64 years: 3.97% (male 3,699,947/female 3,870,080) |
| Age structure: | 65 years and over: 3.13% (male 2,825,134/female 3,146,638) (2017 est.) |
| Dependency ratios: | total dependency ratio: 88.2 |
| Dependency ratios: | youth dependency ratio: 83 |
| Dependency ratios: | elderly dependency ratio: 5.1 |
| Dependency ratios: | potential support ratio: 19.4 (2015 est.) |
| Median age: | total: 18.4 years |
| Median age: | male: 18.3 years |
| Median age: | female: 18.5 years (2017 est.) |
