| People and Society | NIGERIA |
| --- | --- |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the most populous and politically influential are: Hausa and the Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Population: | 181,562,056 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 43.01% (male 39,960,275/female 38,123,266) |
| Age structure: | 15-24 years: 19.38% (male 17,978,154/female 17,210,308) |
| Age structure: | 25-54 years: 30.56% (male 28,470,583/female 27,018,101) |
| Age structure: | 55-64 years: 3.94% (male 3,491,784/female 3,669,348) |
| Age structure: | 65 years and over: 3.11% (male 2,687,373/female 2,952,864) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 87.7% |
| population pyramid: | youth dependency ratio: 82.6% |
| population pyramid: | elderly dependency ratio: 5.1% |
| population pyramid: | potential support ratio: 19.5% (2015 est.) |
| Median age: | total: 18.2 years |
| Median age: | male: 18.1 years |
| Median age: | female: 18.3 years (2014 est.) |
| Population growth rate: | 2.45% (2015 est.) |
| Birth rate: | 37.64 births/1,000 population (2015 est.) |
| Death rate: | 12.9 deaths/1,000 population (2015 est.) |
| Net migration rate: | -0.22 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 47.8% of total population (2015) |
| Urbanization: | rate of urbanization: 4.66% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Lagos 13.123 million; Kano 3.587 million; Ibadan 3.16 million; ABUJA (capital) 2.44 million; Port Harcourt 2.343 million; Benin City 1.496 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 72.7 deaths/1,000 live births |
| Infant mortality rate: | male: 77.55 deaths/1,000 live births |
| Infant mortality rate: | female: 67.55 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 53.02 years |
| Life expectancy at birth: | male: 52 years |
| Life expectancy at birth: | female: 54.1 years (2015 est.) |
| Total fertility rate: | 5.19 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 15.1% (2013) |
| Health expenditures: | 3.9% of GDP (2013) |
| Physicians density: | 0.41 physicians/1,000 population (2009) |
| Hospital bed density: | 0.53 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80.8% of population |
| Drinking water source: | rural: 57.3% of population |
| Drinking water source: | total: 68.5% of population |
| unimproved: | urban: 19.2% of population |
| unimproved: | rural: 42.7% of population |
| unimproved: | total: 31.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32.8% of population |
| Sanitation facility access: | rural: 25.4% of population |
| Sanitation facility access: | total: 29% of population |
| unimproved: | urban: 67.2% of population |
| unimproved: | rural: 74.6% of population |
| unimproved: | total: 71% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.17% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,228,600 (2013 est.) |
| HIV/AIDS - deaths: | 209,600 (2013 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: leptospirosis and schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: one of the most highly endemic areas for Lassa fever |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 9.7% (2014) |
| Children under the age of 5 years underweight: | 31% (2013) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.6% |
| Literacy: | male: 69.2% |
| Literacy: | female: 49.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
| Child labor - children ages 5-14: | total number: 11,396,823 |
| Child labor - children ages 5-14: | percentage: 29% (2007 est.) |
