| People and Society | Nigeria |
| --- | --- |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the following are the most populous and politically influential: Hausa and Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Population: | 174,507,539 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 43.8% (male 39,127,615/female 37,334,281) |
| Age structure: | 15-24 years: 19.3% (male 17,201,067/female 16,451,357) |
| Age structure: | 25-54 years: 30.1% (male 25,842,967/female 26,699,432) |
| Age structure: | 55-64 years: 3.8% (male 3,016,896/female 3,603,048) |
| Age structure: | 65 years and over: 3% (male 2,390,154/female 2,840,722) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 89 % |
| population pyramid: | youth dependency ratio: 83.8 % |
| population pyramid: | elderly dependency ratio: 5.2 % |
| population pyramid: | potential support ratio: 19.3 (2013) |
| Median age: | total: 17.9 years |
| Median age: | male: 17.4 years |
| Median age: | female: 18.4 years (2013 est.) |
| Population growth rate: | 2.54% (2013 est.) |
| Birth rate: | 38.78 births/1,000 population (2013 est.) |
| Death rate: | 13.2 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.22 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 49.6% of total population (2011) |
| Urbanization: | rate of urbanization: 3.75% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Lagos 10.203 million; Kano 3.304 million; Ibadan 2.762 million; ABUJA (capital) 1.857 million; Kaduna 1.519 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 20.9 (2008 est.) |
| Maternal mortality rate: | 630 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 72.97 deaths/1,000 live births |
| Infant mortality rate: | male: 77.98 deaths/1,000 live births |
| Infant mortality rate: | female: 67.66 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 52.46 years |
| Life expectancy at birth: | male: 49.35 years |
| Life expectancy at birth: | female: 55.77 years (2013 est.) |
| Total fertility rate: | 5.31 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 14.1% (2011) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 0.4 physicians/1,000 population (2008) |
| Hospital bed density: | 0.53 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 74% of population |
| Drinking water source: | rural: 43% of population |
| Drinking water source: | total: 58% of population |
| unimproved: | urban: 26% of population |
| unimproved: | rural: 57% of population |
| unimproved: | total: 42% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 35% of population |
| Sanitation facility access: | rural: 27% of population |
| Sanitation facility access: | total: 31% of population |
| unimproved: | urban: 65% of population |
| unimproved: | rural: 73% of population |
| unimproved: | total: 69% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 3.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3.3 million (2009 est.) |
| HIV/AIDS - deaths: | 220,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: leptospirosis and schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: one of the most highly endemic areas for Lassa fever |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 6.5% (2008) |
| Children under the age of 5 years underweight: | 26.7% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.3% |
| Literacy: | male: 72.1% |
| Literacy: | female: 50.4% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
| Child labor - children ages 5-14: | total number: 11,396,823 |
| Child labor - children ages 5-14: | percentage: 29 % (2007 est.) |
