| People and Society | Nigeria |
| --- | --- |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the following are the most populous and politically influential: Hausa and Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Population: | 170,123,740 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 43.9% (male 38,232,053/ female 36,483,243) |
| Age structure: | 15-64 years: 53.1% (male 44,862,457/ female 45,484,314) |
| Age structure: | 65 years and over: 3% (male 2,325,682/ female 2,735,991) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 17.9 years |
| Median age: | male: 17.5 years |
| Median age: | female: 18.4 years (2012 est.) |
| Population growth rate: | 2.553% (2012 est.) |
| Birth rate: | 39.23 births/1,000 population (2012 est.) |
| Death rate: | 13.48 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -0.22 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 50% of total population (2010) |
| Urbanization: | rate of urbanization: 3.5% annual rate of change (2010-15 est.) |
| Major cities - population: | Lagos 10.203 million; Kano 3.304 million; Ibadan 2.762 million; ABUJA (capital) 1.857 million; Kaduna 1.519 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2011 est.) |
| Maternal mortality rate: | 630 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 74.36 deaths/1,000 live births |
| Infant mortality rate: | male: 79.44 deaths/1,000 live births |
| Infant mortality rate: | female: 68.97 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 52.05 years |
| Life expectancy at birth: | male: 48.95 years |
| Life expectancy at birth: | female: 55.33 years (2012 est.) |
| Total fertility rate: | 5.38 children born/woman (2012 est.) |
| Health expenditures: | 5.8% of GDP (2009) |
| Physicians density: | 0.395 physicians/1,000 population (2008) |
| Hospital bed density: | 0.53 beds/1,000 population (2004) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 36% of population |
| Sanitation facility access: | rural: 28% of population |
| Sanitation facility access: | total: 32% of population |
| unimproved: | urban: 67% of population |
| unimproved: | rural: 72% of population |
| unimproved: | total: 68% of population |
| HIV/AIDS - adult prevalence rate: | 3.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3.3 million (2009 est.) |
| HIV/AIDS - deaths: | 220,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: one of the most highly endemic areas for Lassa fever |
| Major infectious diseases: | water contact disease: leptospirosis and shistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 26.7% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.3% |
| Literacy: | male: 72.1% |
| Literacy: | female: 50.4% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
