| People and Society | Nigeria |
| --- | --- |
| Population: | 214,028,302 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Hausa 30%, Yoruba 15.5%, Igbo (Ibo) 15.2%, Fulani 6%, Tiv 2.4%, Kanuri/Beriberi 2.4%, Ibibio 1.8%, Ijaw/Izon 1.8%, other 24.7% (2018 est.) |
| Ethnic groups: | note: Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 53.5%, Roman Catholic 10.6%, other Christian 35.3%, other .6% (2018 est.) |
| Demographic profile: | Nigeriaâ€™s population is projected to grow from more than 186 million people in 2016 to 392 million in 2050, becoming the worldâ€™s fourth most populous country. Nigeriaâ€™s sustained high population growth rate will continue for the foreseeable future because of population momentum and its high birth rate. Abuja has not successfully implemented family planning programs to reduce and space births because of a lack of political will, government financing, and the availability and affordability of services and products, as well as a cultural preference for large families. Increased educational attainment, especially among women, and improvements in health care are needed to encourage and to better enable parents to opt for smaller families. |
| Demographic profile: | Nigeria needs to harness the potential of its burgeoning youth population in order to boost economic development, reduce widespread poverty, and channel large numbers of unemployed youth into productive activities and away from ongoing religious and ethnic violence. While most movement of Nigerians is internal, significant emigration regionally and to the West provides an outlet for Nigerians looking for economic opportunities, seeking asylum, and increasingly pursuing higher education. Immigration largely of West Africans continues to be insufficient to offset emigration and the loss of highly skilled workers. Nigeria also is a major source, transit, and destination country for forced labor and sex trafficking. |
| Age structure: | 0-14 years: 41.7% (male 45,571,738/female 43,674,769) |
| Age structure: | 15-24 years: 20.27% (male 22,022,660/female 21,358,753) |
| Age structure: | 25-54 years: 30.6% (male 32,808,913/female 32,686,474) |
| Age structure: | 55-64 years: 4.13% (male 4,327,847/female 4,514,264) |
| Age structure: | 65 years and over: 3.3% (male 3,329,083/female 3,733,801) (2020 est.) |
| Dependency ratios: | total dependency ratio: 86 |
| Dependency ratios: | youth dependency ratio: 80.9 |
| Dependency ratios: | elderly dependency ratio: 5.1 |
| Dependency ratios: | potential support ratio: 19.6 (2020 est.) |
| Median age: | total: 18.6 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.9 years (2020 est.) |
| Population growth rate: | 2.53% (2020 est.) |
| Birth rate: | 34.6 births/1,000 population (2020 est.) |
| Death rate: | 9.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | largest population of any African nation; significant population clusters are scattered throughout the country, with the highest density areas being in the south and southwest as shown in this population distribution map |
| Urbanization: | urban population: 52% of total population (2020) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 14.368 million Lagos, 3.999 million Kano, 3.552 million Ibadan, 3.278 million ABUJA (capital),Â 3.020 million Port Harcourt, 1.727 million Benin City (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20.3 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 917 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 59.8 deaths/1,000 live births |
| Infant mortality rate: | male: 65.4 deaths/1,000 live births |
| Infant mortality rate: | female: 54 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 60.4 years |
| Life expectancy at birth: | male: 58.6 years |
| Life expectancy at birth: | female: 62.3 years (2020 est.) |
| Total fertility rate: | 4.72 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 16.6% (2018) |
| Drinking water source: | improved: urban: 92.6% of population |
| Drinking water source: | rural: 63.6% of population |
| Drinking water source: | total: 77.9% of population |
| Drinking water source: | unimproved: urban: 7.4% of population |
| Drinking water source: | rural: 36.4% of population |
| Drinking water source: | total: 22.1% of population (2017 est.) |
| Current Health Expenditure: | 3.8% (2017) |
| Physicians density: | 0.45 physicians/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 80.2% of population |
| Sanitation facility access: | rural: 39.5% of population |
| Sanitation facility access: | total: 59.7% of population |
| Sanitation facility access: | unimproved: urban: 19.8% of population |
| Sanitation facility access: | rural: 60.5% of population |
| Sanitation facility access: | total: 40.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.8 million (2019 est.) |
| HIV/AIDS - deaths: | 45,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: leptospirosis and schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever |
