| People and Society | Nigeria |
| --- | --- |
| Nationality: | noun: Nigerian(s) |
| Nationality: | adjective: Nigerian |
| Ethnic groups: | Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the following are the most populous and politically influential: Hausa and Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5% |
| Languages: | English (official), Hausa, Yoruba, Igbo (Ibo), Fulani, over 500 additional indigenous languages |
| Religions: | Muslim 50%, Christian 40%, indigenous beliefs 10% |
| Population: | 155,215,573 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 40.9% (male 32,476,681/female 31,064,539) |
| Age structure: | 15-64 years: 55.9% (male 44,296,228/female 42,534,542) |
| Age structure: | 65 years and over: 3.1% (male 2,341,228/female 2,502,355) (2011 est.) |
| Median age: | total: 19.2 years |
| Median age: | male: 19.2 years |
| Median age: | female: 19.3 years (2011 est.) |
| Population growth rate: | 1.935% (2011 est.) |
| Birth rate: | 35.51 births/1,000 population (2011 est.) |
| Death rate: | 16.06 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 50% of total population (2010) |
| Urbanization: | rate of urbanization: 3.5% annual rate of change (2010-15 est.) |
| Major cities - population: | Lagos 10.203 million; Kano 3.304 million; Ibadan 2.762 million; ABUJA (capital) 1.857 million; Kaduna 1.519 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.94 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2011 est.) |
| Maternal mortality rate: | 840 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 91.54 deaths/1,000 live births |
| Infant mortality rate: | male: 97.42 deaths/1,000 live births |
| Infant mortality rate: | female: 85.31 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 47.56 years |
| Life expectancy at birth: | male: 46.76 years |
| Life expectancy at birth: | female: 48.41 years (2011 est.) |
| Total fertility rate: | 4.73 children born/woman (2011 est.) |
| Health expenditures: | 5.8% of GDP (2009) |
| Physicians density: | 0.395 physicians/1,000 population (2008) |
| Hospital bed density: | 0.53 beds/1,000 population (2004) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 75% of population |
| Drinking water source: | rural: 42% of population |
| Drinking water source: | total: 58% of population |
| unimproved: | urban: 25% of population |
| unimproved: | rural: 58% of population |
| unimproved: | total: 42% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 36% of population |
| Sanitation facility access: | rural: 28% of population |
| Sanitation facility access: | total: 32% of population |
| unimproved: | urban: 67% of population |
| unimproved: | rural: 72% of population |
| unimproved: | total: 68% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 3.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3.3 million (2009 est.) |
| HIV/AIDS - deaths: | 220,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | aerosolized dust or soil contact disease: one of the most highly endemic areas for Lassa fever |
| Major infectious diseases: | water contact disease: leptospirosis and shistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 26.7% (2008) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 68% |
| Literacy: | male: 75.7% |
| Literacy: | female: 60.6% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
