| People and Society | ICELAND |
| --- | --- |
| Population: | 339,747 (July 2017 est.) |
| Nationality: | noun: Icelander(s) |
| Nationality: | adjective: Icelandic |
| Ethnic groups: | homogeneous mixture of descendants of Norse and Celts 94%, population of foreign origin 6% |
| Languages: | Icelandic, English, Nordic languages, German widely spoken |
| Religions: | Evangelical Lutheran Church of Iceland (official) 69.9%, Roman Catholic 3.8%, Reykjavik Free Church 2.9%, Hafnarfjorour Free Church 2%, Asatru Association 1.1%, The Independent Congregation 1%, other religions 4% (includes Zuist and Pentecostal), none 6.1%, other or unspecified 9.2% (2017 est.) |
| Age structure: | 0-14 years: 20.4% (male 35,418/female 33,887) |
| Age structure: | 15-24 years: 13.5% (male 23,190/female 22,659) |
| Age structure: | 25-54 years: 39.88% (male 68,579/female 66,899) |
| Age structure: | 55-64 years: 11.81% (male 20,119/female 20,007) |
| Age structure: | 65 years and over: 14.42% (male 22,936/female 26,053) (2017 est.) |
| Dependency ratios: | total dependency ratio: 51.6 |
| Dependency ratios: | youth dependency ratio: 30.8 |
| Dependency ratios: | elderly dependency ratio: 20.8 |
| Dependency ratios: | potential support ratio: 4.8 (2015 est.) |
| Median age: | total: 36.5 years |
| Median age: | male: 35.9 years |
| Median age: | female: 37.1 years (2017 est.) |
| Population growth rate: | 1.13% (2017 est.) |
| Birth rate: | 13.7 births/1,000 population (2017 est.) |
| Death rate: | 6.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | 4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | Iceland is almost entirely urban with half of the population located in and around the capital of Reykjavik; smaller clusters are primarily found along the coast in the north and west |
| Urbanization: | urban population: 94.3% of total population (2017) |
| Urbanization: | rate of urbanization: 1.1% annual rate of change (2015-20 est.) |
| Major urban areas - population: | REYKJAVIK (capital) 184,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.4 years (2015 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2.1 deaths/1,000 live births |
| Infant mortality rate: | male: 2.2 deaths/1,000 live births |
| Infant mortality rate: | female: 1.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 83.1 years |
| Life expectancy at birth: | male: 80.9 years |
| Life expectancy at birth: | female: 85.4 years (2017 est.) |
| Total fertility rate: | 2 children born/woman (2017 est.) |
| Health expenditures: | 8.9% of GDP (2014) |
| Physicians density: | 3.79 physicians/1,000 population (2015) |
| Hospital bed density: | 3.18 beds/1,000 population (2014) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98.7% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 98.8% of population |
| unimproved: | urban: 1.3% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.9% (2016) |
| Education expenditures: | 7.8% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 20 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 21 years (2013) |
| Unemployment, youth ages 15-24: | total: 6.5% |
| Unemployment, youth ages 15-24: | male: 6.7% |
| Unemployment, youth ages 15-24: | female: 6.4% (2016 est.) |
