| People and Society | ICELAND |
| --- | --- |
| Population: | 335,878 (July 2016 est.) |
| Nationality: | noun: Icelander(s) |
| Nationality: | adjective: Icelandic |
| Ethnic groups: | homogeneous mixture of descendants of Norse and Celts 94%, population of foreign origin 6% |
| Languages: | Icelandic, English, Nordic languages, German widely spoken |
| Religions: | Evangelical Lutheran Church of Iceland (official) 73.8%, Roman Catholic 3.6%, Reykjavik Free Church 2.9%, Hafnarfjorour Free Church 2%, The Independent Congregation 1%, other religions 3.9% (includes Pentecostal and Asatru Association), none 5.6%, other or unspecified 7.2% (2015 est.) |
| Age structure: | 0-14 years: 20.4% (male 35,009/female 33,495) |
| Age structure: | 15-24 years: 13.77% (male 23,452/female 22,789) |
| Age structure: | 25-54 years: 39.99% (male 67,878/female 66,428) |
| Age structure: | 55-64 years: 11.75% (male 19,848/female 19,622) |
| Age structure: | 65 years and over: 14.1% (male 22,130/female 25,227) (2016 est.) |
| Dependency ratios: | total dependency ratio: 51.6% |
| Dependency ratios: | youth dependency ratio: 30.8% |
| Dependency ratios: | elderly dependency ratio: 20.8% |
| Dependency ratios: | potential support ratio: 4.8% (2015 est.) |
| Median age: | total: 36.3 years |
| Median age: | male: 35.7 years |
| Median age: | female: 36.9 years (2016 est.) |
| Population growth rate: | 1.17% (2016 est.) |
| Birth rate: | 13.8 births/1,000 population (2016 est.) |
| Death rate: | 6.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | 4.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | Iceland is almost entirely urban with half of the population located in and around the capital of Reykjavik; smaller agglomerations are primarily found along the coast in the north and west |
| Urbanization: | urban population: 94.1% of total population (2015) |
| Urbanization: | rate of urbanization: 1.25% annual rate of change (2010-15 est.) |
| Major urban areas - population: | REYKJAVIK (capital) 184,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27 (2011 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2.1 deaths/1,000 live births |
| Infant mortality rate: | male: 2.2 deaths/1,000 live births |
| Infant mortality rate: | female: 1.9 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 83 years |
| Life expectancy at birth: | male: 80.9 years |
| Life expectancy at birth: | female: 85.3 years (2016 est.) |
| Total fertility rate: | 2.01 children born/woman (2016 est.) |
| Health expenditures: | 8.9% of GDP (2014) |
| Physicians density: | 3.48 physicians/1,000 population (2012) |
| Hospital bed density: | 3.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | mproved: |
| Sanitation facility access: | urban: 98.7% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 98.8% of population |
| unimproved: | urban: 1.3% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 23.9% (2014) |
| Education expenditures: | 7% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2012) |
| Unemployment, youth ages 15-24: | total: 9.8% |
| Unemployment, youth ages 15-24: | male: 12.9% |
| Unemployment, youth ages 15-24: | female: 6.6% (2014 est.) |
