| People and Society | Denmark |
| --- | --- |
| Population: | 5,869,410 (July 2020 est.) |
| Nationality: | noun: Dane(s) |
| Nationality: | adjective: Danish |
| Ethnic groups: | Danish (includes Greenlandic (who are predominantly Inuit) and Faroese) 86.3%, Turkish 1.1%, other 12.6% (largest groups are Polish, Syrian, German, Iraqi, and Romanian) (2018 est.) |
| Ethnic groups: | note: data represent population by ancestry |
| Languages: | Danish, Faroese, Greenlandic (an Inuit dialect), German (small minority) |
| Languages: | note: English is the predominant second language |
| Religions: | Evangelical Lutheran (official) 74.7%, Muslim 5.5%, other/none/unspecified (denominations of less than 1% each in descending order of size include Roman Catholic, Jehovah's Witness, Serbian Orthodox Christian, Jewish, Baptist, Buddhist, Mormon, Pentecostal, and nondenominational Christian) 19.8% (2019 est.) |
| Age structure: | 0-14 years: 16.42% (male 494,806/female 469,005) |
| Age structure: | 15-24 years: 12.33% (male 370,557/female 352,977) |
| Age structure: | 25-54 years: 38.71% (male 1,149,991/female 1,122,016) |
| Age structure: | 55-64 years: 12.63% (male 370,338/female 371,149) |
| Age structure: | 65 years and over: 19.91% (male 538,096/female 630,475) (2020 est.) |
| Dependency ratios: | total dependency ratio: 57.3 |
| Dependency ratios: | youth dependency ratio: 25.6 |
| Dependency ratios: | elderly dependency ratio: 31.7 |
| Dependency ratios: | potential support ratio: 3.2 (2020 est.) |
| Median age: | total: 42 years |
| Median age: | male: 40.9 years |
| Median age: | female: 43.1 years (2020 est.) |
| Population growth rate: | 0.48% (2020 est.) |
| Birth rate: | 11.1 births/1,000 population (2020 est.) |
| Death rate: | 9.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | 2.8 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | with excellent access to the North Sea, Skagerrak, Kattegat, and the Baltic Sea, population centers tend to be along coastal areas, particularly in Copenhagen and the eastern side of the country's mainland |
| Urbanization: | urban population: 88.1% of total population (2020) |
| Urbanization: | rate of urbanization: 0.51% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.346 million COPENHAGEN (capital) (2020) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 29.2 years (2017 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.2 deaths/1,000 live births |
| Infant mortality rate: | male: 3.6 deaths/1,000 live births |
| Infant mortality rate: | female: 2.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.2 years |
| Life expectancy at birth: | male: 79.3 years |
| Life expectancy at birth: | female: 83.3 years (2020 est.) |
| Total fertility rate: | 1.78 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 10.1% (2017) |
| Physicians density: | 4.01 physicians/1,000 population (2016) |
| Hospital bed density: | 2.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,200 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 19.7% (2016) |
| Education expenditures: | 7.8% of GDP (2017) |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 19 years (2018) |
| Unemployment, youth ages 15-24: | total: 9.4% |
| Unemployment, youth ages 15-24: | male: 10.5% |
| Unemployment, youth ages 15-24: | female: 8.2% (2018 est.) |
