| People and Society | Denmark |
| --- | --- |
| Population: | 5,809,502 (July 2018 est.) |
| Nationality: | noun: Dane(s) |
| Nationality: | adjective: Danish |
| Ethnic groups: | Danish (includes Greenlandic (who are predominantly Inuit) and Faroese) 86.3%, Turkish 1.1%, other 12.6% (largest groups are Polish, Syrian, German, Iraqi, and Romanian) (2018 est.) |
| Ethnic groups: | note: data represent population by ancestry |
| Languages: | Danish, Faroese, Greenlandic (an Inuit dialect), German (small minority) |
| Languages: | note: English is the predominant second language |
| Religions: | Evangelical Lutheran (official) 74.7%, Muslim 5.5%, other/none/unspecified (denominations of less than 1% each in descending order of size include Roman Catholic, Jehovah's Witness, Serbian Orthodox Christian, Jewish, Baptist, Buddhist, Mormon, Pentecostal, and nondenominational Christian) 19.8% (2019 est.) |
| Age structure: | 0-14 years: 16.57% (male 493,829 /female 468,548) |
| Age structure: | 15-24 years: 12.67% (male 377,094 /female 358,807) |
| Age structure: | 25-54 years: 39.03% (male 1,147,196 /female 1,119,967) |
| Age structure: | 55-64 years: 12.33% (male 356,860 /female 359,264) |
| Age structure: | 65 years and over: 19.42% (male 518,200 /female 609,737) (2018 est.) |
| Dependency ratios: | total dependency ratio: 56 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 26.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 29.7 (2015 est.) |
| Dependency ratios: | potential support ratio: 3.4 (2015 est.) |
| Median age: | total: 41.9 years (2018 est.) |
| Median age: | male: 40.8 years |
| Median age: | female: 42.9 years |
| Population growth rate: | 0.59% (2018 est.) |
| Birth rate: | 10.9 births/1,000 population (2018 est.) |
| Death rate: | 9.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | 4.3 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | with excellent access to the North Sea, Skagerrak, Kattegat, and the Baltic Sea, population centers tend to be along coastal areas, particularly in Copenhagen and the eastern side of the country's mainland |
| Urbanization: | urban population: 88% of total population (2019) |
| Urbanization: | rate of urbanization: 0.51% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.334 million COPENHAGEN (capital) (2019) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 29.1 years (2015 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.6 deaths/1,000 live births |
| Infant mortality rate: | female: 2.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 81 years (2018 est.) |
| Life expectancy at birth: | male: 79.1 years |
| Life expectancy at birth: | female: 83.1 years |
| Total fertility rate: | 1.78 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 10.4% (2016) |
| Physicians density: | 4.46 physicians/1,000 population (2016) |
| Hospital bed density: | 2.5 beds/1,000 population (2015) |
| Sanitation facility access: | improved: urban: 99.6% of population (2015 est.) |
| Sanitation facility access: | rural: 99.6% of population (2015 est.) |
| Sanitation facility access: | total: 99.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0.4% of population (2015 est.) |
| Sanitation facility access: | rural: 0.4% of population (2015 est.) |
| Sanitation facility access: | total: 0.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,200 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 19.7% (2016) |
| Education expenditures: | 7.6% of GDP (2014) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2016) |
| Unemployment, youth ages 15-24: | total: 11% |
| Unemployment, youth ages 15-24: | male: 11.4% |
| Unemployment, youth ages 15-24: | female: 10.7% (2017 est.) |
